
  0%|          | 0/2000 [00:00<?, ?it/s]
  3%|▎         | 69/2000 [00:38<14:52,  2.16it/s, train: 0.0297, test: 0.0224]
  4%|▎         | 70/2000 [00:39<14:52,  2.16it/s, train: 0.0231, test: 0.0337]
  4%|▎         | 71/2000 [00:39<14:52,  2.16it/s, train: 0.0282, test: 0.0300]
  4%|▎         | 72/2000 [00:40<14:51,  2.16it/s, train: 0.0270, test: 0.0252]
  4%|▎         | 73/2000 [00:40<14:49,  2.17it/s, train: 0.0171, test: 0.0236]
  4%|▎         | 74/2000 [00:41<14:48,  2.17it/s, train: 0.0177, test: 0.0186]
  4%|▍         | 75/2000 [00:41<14:49,  2.16it/s, train: 0.0228, test: 0.0191]
  4%|▍         | 76/2000 [00:42<14:48,  2.16it/s, train: 0.0173, test: 0.0197]
  4%|▍         | 77/2000 [00:42<14:49,  2.16it/s, train: 0.0143, test: 0.0166]
  4%|▍         | 78/2000 [00:43<14:49,  2.16it/s, train: 0.0119, test: 0.0173]
  4%|▍         | 79/2000 [00:43<14:48,  2.16it/s, train: 0.0127, test: 0.0151]
  4%|▍         | 80/2000 [00:44<14:48,  2.16it/s, train: 0.0119, test: 0.0148]
  4%|▍         | 81/2000 [00:44<14:47,  2.16it/s, train: 0.0121, test: 0.0154]
  4%|▍         | 82/2000 [00:44<14:47,  2.16it/s, train: 0.0143, test: 0.0245]
  4%|▍         | 83/2000 [00:45<14:46,  2.16it/s, train: 0.0154, test: 0.0225]
  4%|▍         | 84/2000 [00:45<14:45,  2.16it/s, train: 0.0173, test: 0.0246]
  4%|▍         | 85/2000 [00:46<14:44,  2.16it/s, train: 0.0170, test: 0.0285]
  4%|▍         | 86/2000 [00:46<14:45,  2.16it/s, train: 0.0207, test: 0.0254]
  4%|▍         | 87/2000 [00:47<14:45,  2.16it/s, train: 0.0150, test: 0.0192]
  4%|▍         | 88/2000 [00:47<14:43,  2.16it/s, train: 0.0200, test: 0.0242]
  4%|▍         | 89/2000 [00:48<14:44,  2.16it/s, train: 0.0181, test: 0.0145]
  4%|▍         | 90/2000 [00:48<14:43,  2.16it/s, train: 0.0165, test: 0.0186]
