  0%|          | 0/1000 [00:00<?, ?it/s]E0208 10:54:02.497574 1439549 buffer_comparator.cc:157] Difference at 16: -1.34922, expected 3.85087
E0208 10:54:03.011381 1439549 buffer_comparator.cc:157] Difference at 1047: 0.0243819, expected 3.29061
E0208 10:54:03.011385 1439549 buffer_comparator.cc:157] Difference at 1048: 0.0305703, expected 3.3549
E0208 10:54:03.011390 1439549 buffer_comparator.cc:157] Difference at 1049: 0.0881724, expected 3.28835
2025-02-08 10:54:03.012714: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0208 10:54:03.140772 1439549 buffer_comparator.cc:157] Difference at 1056: 0.0273832, expected 3.34372
E0208 10:54:03.140880 1439549 buffer_comparator.cc:157] Difference at 1057: 0.0578477, expected 3.13616
E0208 10:54:03.140886 1439549 buffer_comparator.cc:157] Difference at 1058: 0.0756343, expected 3.04202
E0208 10:54:03.140890 1439549 buffer_comparator.cc:157] Difference at 1059: 0.115654, expected 3.38431
E0208 10:54:03.140896 1439549 buffer_comparator.cc:157] Difference at 1060: 0.10483, expected 3.33402
E0208 10:54:03.140900 1439549 buffer_comparator.cc:157] Difference at 1061: 0.0269861, expected 3.50276
E0208 10:54:03.140905 1439549 buffer_comparator.cc:157] Difference at 1062: 0.0223552, expected 3.32177
E0208 10:54:03.140910 1439549 buffer_comparator.cc:157] Difference at 1063: 0.00012611, expected 3.19817
E0208 10:54:03.140914 1439549 buffer_comparator.cc:157] Difference at 1064: 0.0476299, expected 3.35121
E0208 10:54:03.140919 1439549 buffer_comparator.cc:157] Difference at 1065: 0.113326, expected 3.61856
2025-02-08 10:54:03.142124: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0208 10:54:03.268089 1439549 buffer_comparator.cc:157] Difference at 2048: 0.0540489, expected 2.94419
E0208 10:54:03.268870 1439549 buffer_comparator.cc:157] Difference at 2049: 0.03054, expected 3.18266
E0208 10:54:03.268881 1439549 buffer_comparator.cc:157] Difference at 2050: 0.103164, expected 3.14465
E0208 10:54:03.268886 1439549 buffer_comparator.cc:157] Difference at 2051: 0.0632399, expected 2.9732
E0208 10:54:03.268891 1439549 buffer_comparator.cc:157] Difference at 2052: 0.0104337, expected 2.92827
E0208 10:54:03.268896 1439549 buffer_comparator.cc:157] Difference at 2053: 0.113368, expected 3.04609
E0208 10:54:03.268901 1439549 buffer_comparator.cc:157] Difference at 2054: 0.0166464, expected 3.08876
E0208 10:54:03.268906 1439549 buffer_comparator.cc:157] Difference at 2055: 0.009563, expected 3.17395
E0208 10:54:03.268911 1439549 buffer_comparator.cc:157] Difference at 2056: 0.0216736, expected 2.8235
E0208 10:54:03.268916 1439549 buffer_comparator.cc:157] Difference at 2057: 0.089238, expected 3.14044
2025-02-08 10:54:03.270212: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0208 10:54:03.396599 1439549 buffer_comparator.cc:157] Difference at 2048: 0.0540489, expected 2.94419
E0208 10:54:03.396710 1439549 buffer_comparator.cc:157] Difference at 2049: 0.03054, expected 3.18266
E0208 10:54:03.396716 1439549 buffer_comparator.cc:157] Difference at 2050: 0.103164, expected 3.14465
E0208 10:54:03.396720 1439549 buffer_comparator.cc:157] Difference at 2051: 0.0632399, expected 2.9732
E0208 10:54:03.396725 1439549 buffer_comparator.cc:157] Difference at 2052: 0.0104337, expected 2.92827
E0208 10:54:03.396730 1439549 buffer_comparator.cc:157] Difference at 2053: 0.113368, expected 3.04609
E0208 10:54:03.396735 1439549 buffer_comparator.cc:157] Difference at 2054: 0.0166464, expected 3.08876
E0208 10:54:03.396739 1439549 buffer_comparator.cc:157] Difference at 2055: 0.009563, expected 3.17395
E0208 10:54:03.396744 1439549 buffer_comparator.cc:157] Difference at 2056: 0.0216736, expected 2.8235
E0208 10:54:03.396748 1439549 buffer_comparator.cc:157] Difference at 2057: 0.089238, expected 3.14044
2025-02-08 10:54:03.398018: E external/xla/xla/service/gpu/autotuning/gemm_fusion_autotuner.cc:1180] Results do not match the reference. This is likely a bug/unexpected loss of precision.
E0208 10:54:03.524947 1439549 buffer_comparator.cc:157] Difference at 2080: 0.00193589, expected 3.21166
E0208 10:54:03.525053 1439549 buffer_comparator.cc:157] Difference at 2081: 0.102015, expected 2.96013
E0208 10:54:03.525059 1439549 buffer_comparator.cc:157] Difference at 2082: 0.123008, expected 3.18135
E0208 10:54:03.525064 1439549 buffer_comparator.cc:157] Difference at 2083: 0.0366735, expected 3.10569
E0208 10:54:03.525069 1439549 buffer_comparator.cc:157] Difference at 2084: 0.0208961, expected 3.27484
E0208 10:54:03.525074 1439549 buffer_comparator.cc:157] Difference at 2085: 0.0215147, expected 3.18014
E0208 10:54:03.525079 1439549 buffer_comparator.cc:157] Difference at 2086: 0.013277, expected 3.12631
E0208 10:54:03.525084 1439549 buffer_comparator.cc:157] Difference at 2087: 0.0615987, expected 3.15322
E0208 10:54:03.525089 1439549 buffer_comparator.cc:157] Difference at 2088: 0.0465512, expected 3.43765
E0208 10:54:03.525093 1439549 buffer_comparator.cc:157] Difference at 2089: 0.0244156, expected 3.35592
