"Model_ID" "Z" "X" "M" "L" "Teff" "Period" "logP" "V_Skewness" "V_acuteness" "V_M0" "V_err_M0" "V_A1" "V_A1_err" "V_phi1" "V_phi1_err" "V_R21" "V_R21_err" "V_R31" "V_R31_err" "V_P21" "V_P21_err" "V_P31" "V_P31_err" "I_Skewness" "I_acuteness" "I_M0" "I_err_M0" "I_A1" "I_A1_err" "I_phi1" "I_phi1_err" "I_R21" "I_R21_err" "I_R31" "I_R31_err" "I_P21" "I_P21_err" "I_P31" "I_P31_err" "FU_Lin_Period" "FU_Growth_rate" "FO_Lin_Period" "FO_Growth_rate"
1 0.00038 0.75053 0.5 35 6000 0.75346 -0.123 -0.306 Inf 1.043 0 0.01 0 0.653 0 0.091 0 0.009 0 3.097 0 0.137 0.002 -0.289 0.742 0.404 0 0.005 0 0.083 0 0.102 0 0.011 0 4.174 0 1.88 0.004 NA NA NA NA
2 0.00038 0.75053 0.5 35 6050 0.72079 -0.142 -0.17 Inf 1.035 0 0.064 0 0.538 0 0.56 0 0.289 0 3.168 0 6.182 0 -0.155 0.387 0.413 0 0.035 0 6.261 0 0.619 0 0.34 0 4.231 0 1.527 0 0.72127 0.0093333 NA NA
3 0.00038 0.75053 0.5 35 6100 0.69229 -0.16 -0.143 Inf 1.027 0 0.086 0 0.401 0 0.631 0 0.4 0 3.348 0 0.13 0 -0.123 0.391 0.423 0 0.051 0 6.155 0 0.64 0 0.43 0 4.347 0 1.681 0 0.69281 0.015857 NA NA
4 0.00038 0.75053 0.5 35 6150 0.66689 -0.176 -0.117 Inf 1.02 0 0.107 0 0.249 0 0.592 0 0.435 0 3.526 0 0.402 0.001 -0.1 0.422 0.432 0 0.068 0 6.059 0 0.552 0 0.438 0 4.407 0 1.795 0.001 0.66735 0.021103 NA NA
5 0.00038 0.75053 0.5 35 6200 0.64382 -0.191 -0.11 Inf 1.014 0 0.133 0 0.091 0 0.514 0 0.425 0 3.644 0.001 0.598 0.001 -0.091 0.477 0.44 0 0.088 0 5.964 0 0.453 0 0.412 0 4.395 0.001 1.806 0.001 0.64414 0.024205 NA NA
6 0.00038 0.75053 0.5 35 6250 0.62269 -0.206 -0.099 Inf 1.008 0 0.162 0 6.247 0 0.435 0.001 0.392 0.001 3.675 0.001 0.707 0.002 -0.093 0.562 0.449 0 0.11 0 5.893 0 0.372 0.001 0.375 0.001 4.306 0.002 1.748 0.002 0.62288 0.026568 NA NA
7 0.00038 0.75053 0.5 35 6300 0.60313 -0.22 -0.093 0.976 1.003 0 0.194 0 6.168 0.001 0.377 0.001 0.352 0.001 3.602 0.003 0.74 0.003 -0.089 0.616 0.458 0 0.132 0 5.855 0.001 0.32 0.001 0.334 0.001 4.126 0.003 1.65 0.004 0.60318 0.027749 0.44398 0.008868
8 0.00038 0.75053 0.5 35 6350 0.58481 -0.233 -0.092 Inf 0.999 0 0.226 0 6.137 0.001 0.353 0.001 0.302 0.001 3.445 0.004 0.712 0.005 -0.089 0.664 0.467 0 0.154 0 5.855 0.001 0.303 0.001 0.281 0.001 3.877 0.005 1.513 0.006 0.58472 0.028161 0.43114 0.01674
9 0.00038 0.75053 0.5 35 6400 0.56756 -0.246 -0.124 Inf 0.996 0 0.258 0 6.145 0.001 0.363 0.001 0.252 0.001 3.242 0.004 0.62 0.006 -0.09 0.672 0.477 0 0.176 0 5.884 0.001 0.323 0.001 0.227 0.001 3.614 0.004 1.337 0.006 0.56734 0.028008 0.41896 0.023248
10 0.00038 0.75053 0.5 35 6450 0.55122 -0.259 -0.119 Inf 0.994 0 0.289 0 6.172 0.001 0.393 0.001 0.206 0.001 3.028 0.005 0.456 0.008 -0.235 0.65 0.488 0 0.196 0 5.919 0.001 0.359 0.001 0.181 0.001 3.385 0.004 1.157 0.007 0.55085 0.027309 0.40728 0.028641
11 0.00038 0.75053 0.5 35 6500 0.53572 -0.271 -0.093 Inf 0.994 0 0.318 0 6.199 0.001 0.431 0.001 0.18 0.001 2.845 0.003 0.206 0.007 -0.23 0.642 0.5 0 0.212 0 5.948 0.001 0.398 0.001 0.158 0.001 3.21 0.003 0.935 0.006 0.53522 0.026068 0.39615 0.032192
12 0.00038 0.75053 0.5 35 6550 0.52087 -0.283 -0.199 Inf 0.993 0 0.346 0 6.226 0.001 0.47 0.001 0.175 0.001 2.697 0.003 6.154 0.006 -0.224 0.684 0.514 0 0.225 0 5.975 0.001 0.436 0.001 0.154 0.001 3.073 0.002 0.655 0.006 0.52029 0.024684 0.38543 0.03543
13 0.00038 0.75053 0.5 35 6600 0.50672 -0.295 -0.165 Inf 0.993 0 0.372 0 6.25 0.001 0.499 0.001 0.19 0.001 2.585 0.002 5.851 0.004 -0.2 0.89 0.527 0 0.238 0 6.002 0.001 0.466 0.001 0.167 0.001 2.961 0.002 0.358 0.004 0.50603 0.022866 0.37517 0.03692
14 0.00038 0.75053 0.5 35 6650 0.49312 -0.307 -0.16 Inf 0.995 0 0.395 0 6.278 0 0.517 0 0.216 0 2.501 0.001 5.644 0.002 -0.158 1.049 0.539 0 0.251 0 6.039 0 0.49 0 0.196 0 2.865 0.001 0.098 0.002 0.49237 0.020991 0.36525 0.038427
15 0.00038 0.75053 0.5 35 6700 0.48003 -0.319 -0.153 Inf 0.998 0 0.414 0 0.018 0 0.524 0 0.239 0 2.45 0.001 5.493 0.001 -0.15 Inf 0.551 0 0.262 0 6.074 0 0.504 0 0.224 0 2.801 0.001 6.177 0.002 0.47928 0.018773 0.35573 0.038195
16 0.00038 0.75053 0.5 35 6750 0.46746 -0.33 -0.161 Inf 1.002 0 0.429 0 0.033 0 0.528 0 0.261 0 2.405 0.001 5.387 0.002 -0.16 Inf 0.566 0 0.27 0 6.097 0.001 0.511 0.001 0.249 0.001 2.744 0.002 6.045 0.004 0.46674 0.016581 0.34657 0.037454
19 0.00038 0.75053 0.5 35 6900 0.32118 -0.493 -0.323 Inf 0.925 0 0.246 0 0.262 0 0.093 0 0.148 0 3.669 0.002 0.939 0.001 -0.329 Inf 0.553 0 0.139 0 0.084 0 0.097 0 0.148 0 4.641 0.002 1.579 0.001 0.43191 0.0097681 0.32101 0.031287
20 0.00038 0.75053 0.5 35 6950 0.31313 -0.504 -0.319 Inf 0.921 0 0.26 0 0.274 0 0.093 0 0.142 0 3.343 0.001 0.838 0.001 -0.323 Inf 0.564 0 0.145 0 0.104 0 0.082 0 0.141 0 4.276 0.001 1.461 0.001 0.42116 0.0076157 0.31309 0.028574
21 0.00038 0.75053 0.5 35 7000 0.30564 -0.515 -0.315 Inf 0.918 0 0.269 0 0.271 0 0.1 0 0.133 0 3.106 0.001 0.713 0.001 -0.316 Inf 0.572 0 0.15 0 0.118 0 0.08 0 0.124 0 3.727 0.001 1.282 0.001 0.4108 0.0054984 0.30545 0.025134
22 0.00038 0.75053 0.5 35 7050 0.29822 -0.525 -0.315 Inf 0.915 0 0.275 0 0.269 0 0.104 0 0.125 0 2.954 0 0.564 0 -0.318 Inf 0.581 0 0.153 0 0.131 0 0.088 0 0.11 0 3.325 0.001 1.067 0.001 0.4008 0.0034869 0.29808 0.021603
23 0.00038 0.75053 0.5 35 7100 0.29109 -0.536 -0.31 Inf 0.911 0 0.276 0 0.264 0 0.106 0 0.117 0 2.842 0 0.399 0 -0.313 Inf 0.589 0 0.153 0 0.141 0 0.099 0 0.099 0 3.024 0 0.813 0 0.39114 0.0015872 0.29094 0.017998
24 0.00038 0.75053 0.5 45 5950 0.9605 -0.018 -0.208 0.437 0.774 0 0.045 0 0.725 0 0.647 0 0.165 0 3.801 0 1.369 0 -0.398 0.342 0.121 0 0.027 0 0.021 0 0.626 0 0.178 0 5.133 0 3.463 0 0.9611 0.014641 NA NA
25 0.00038 0.75053 0.5 45 6000 0.91962 -0.036 -0.158 0.418 0.766 0 0.062 0 0.257 0 0.761 0 0.376 0 3.909 0 1.305 0 -0.382 0.274 0.131 0 0.04 0 5.868 0 0.688 0 0.378 0 5.188 0 3.261 0 0.92046 0.02571 NA NA
26 0.00038 0.75053 0.5 45 6050 0.88325 -0.054 -0.117 0.475 0.758 0 0.08 0 0.206 0 0.727 0 0.461 0 4.06 0 1.367 0.001 -0.101 0.295 0.141 0 0.053 0 5.899 0 0.628 0 0.437 0 5.183 0.001 3.084 0.001 0.88399 0.034508 NA NA
27 0.00038 0.75053 0.5 45 6100 0.85068 -0.07 -0.125 0.575 0.751 0 0.103 0 0.096 0 0.623 0 0.469 0 4.159 0.001 1.461 0.001 -0.097 0.348 0.15 0 0.07 0 5.883 0 0.518 0 0.432 0 5.093 0.001 2.912 0.001 0.85125 0.040748 NA NA
28 0.00038 0.75053 0.5 45 6150 0.82103 -0.086 -0.105 0.626 0.744 0 0.131 0 6.21 0 0.507 0 0.442 0 4.197 0.001 1.515 0.001 -0.095 0.379 0.158 0 0.09 0 5.795 0 0.407 0 0.404 0 4.962 0.001 2.73 0.001 0.82141 0.044677 NA NA
29 0.00038 0.75053 0.5 45 6200 0.79406 -0.1 -0.093 0.736 0.739 0 0.162 0 6.078 0.001 0.406 0.001 0.403 0.001 4.216 0.002 1.558 0.003 -0.087 0.42 0.166 0 0.112 0 5.726 0.001 0.319 0.001 0.367 0.001 4.859 0.003 2.59 0.003 NA NA NA NA
30 0.00038 0.75053 0.5 45 6250 0.76825 -0.114 -0.093 0.821 0.733 0 0.195 0 6.026 0.001 0.328 0.001 0.369 0.001 4.05 0.002 1.497 0.003 -0.088 0.439 0.176 0 0.135 0 5.718 0.001 0.257 0.001 0.339 0.001 4.567 0.003 2.405 0.003 0.76821 0.048099 0.56035 0.015469
31 0.00038 0.75053 0.5 45 6300 0.7444 -0.128 -0.091 0.901 0.728 0 0.228 0 6.015 0.001 0.286 0.001 0.334 0.001 3.843 0.003 1.422 0.004 -0.087 0.466 0.185 0 0.157 0 5.738 0.001 0.228 0.001 0.305 0.001 4.258 0.004 2.239 0.004 0.74416 0.047649 0.54412 0.023501
32 0.00038 0.75053 0.5 45 6350 0.72192 -0.142 -0.125 0.961 0.725 0 0.261 0 6.019 0.001 0.274 0.001 0.297 0.001 3.595 0.004 1.298 0.004 -0.088 0.488 0.195 0 0.178 0 5.767 0.001 0.229 0.001 0.269 0.001 3.92 0.004 2.038 0.004 0.72147 0.046838 0.52863 0.031599
33 0.00038 0.75053 0.5 45 6400 0.70045 -0.155 -0.126 0.976 0.722 0 0.291 0 6.071 0.001 0.284 0.001 0.27 0.001 3.407 0.004 1.144 0.005 -0.123 0.548 0.204 0 0.198 0 5.833 0.001 0.251 0.001 0.243 0.001 3.696 0.005 1.834 0.005 NA NA NA NA
34 0.00038 0.75053 0.5 45 6450 0.68033 -0.167 -0.124 0.969 0.72 0 0.322 0 6.06 0.001 0.316 0.001 0.227 0.001 3.199 0.003 0.832 0.004 -0.236 0.701 0.216 0 0.217 0 5.826 0.001 0.28 0.001 0.204 0.001 3.485 0.003 1.528 0.004 0.67956 0.042283 0.49961 0.040828
35 0.00038 0.75053 0.5 45 6500 0.66109 -0.18 -0.126 0.969 0.72 0 0.348 0 6.106 0.001 0.355 0.001 0.207 0.001 3.092 0.004 0.471 0.007 -0.254 0.77 0.229 0 0.231 0 5.866 0.001 0.311 0.001 0.188 0.001 3.41 0.004 1.212 0.007 0.66011 0.039397 0.48598 0.043667
36 0.00038 0.75053 0.5 45 6550 0.64213 -0.192 -0.2 0.957 0.719 0 0.373 0 6.165 0.001 0.402 0.001 0.202 0.001 3.004 0.003 0.041 0.006 -0.249 0.776 0.242 0 0.243 0 5.919 0.001 0.35 0.001 0.182 0.001 3.358 0.003 0.828 0.005 0.64156 0.036137 0.47286 0.045398
37 0.00038 0.75053 0.5 45 6600 0.62497 -0.204 -0.195 Inf 0.72 0 0.396 0 6.21 0.001 0.45 0.001 0.211 0.001 2.915 0.003 5.933 0.005 -0.204 0.776 0.255 0 0.254 0 5.966 0.001 0.398 0.001 0.19 0.001 3.289 0.002 0.416 0.005 0.62381 0.032558 0.46023 0.046004
38 0.00038 0.75053 0.5 45 6650 0.60797 -0.216 -0.191 Inf 0.722 0 0.415 0 6.246 0.001 0.49 0.001 0.226 0.001 2.835 0.002 5.665 0.004 -0.171 0.812 0.268 0 0.264 0 6.01 0.001 0.445 0.001 0.209 0.001 3.209 0.002 0.086 0.004 0.60686 0.029095 0.44811 0.045884
39 0.00038 0.75053 0.5 45 6700 0.59184 -0.228 -0.187 Inf 0.726 0 0.43 0 6.267 0.001 0.522 0.001 0.235 0.001 2.764 0.002 5.486 0.003 -0.174 0.887 0.282 0 0.272 0 6.042 0 0.486 0 0.225 0 3.135 0.001 6.141 0.002 0.59057 0.025066 0.43638 0.043909
40 0.00038 0.75053 0.5 45 6750 0.42461 -0.372 -0.353 Inf 0.661 0 0.216 0 0.372 0 0.116 0 0.142 0 6.222 0.002 1.489 0.002 -0.359 Inf 0.251 0 0.125 0 0.206 0 0.167 0 0.14 0 0.121 0.002 1.958 0.002 0.57499 0.021143 0.42514 0.040915
41 0.00038 0.75053 0.5 45 6800 0.41454 -0.382 -0.352 Inf 0.656 0 0.233 0 0.357 0 0.086 0 0.122 0 6.229 0.001 1.444 0.001 -0.353 Inf 0.262 0 0.132 0 0.192 0 0.143 0 0.12 0 0.024 0.001 1.932 0.001 0.55998 0.017387 0.41427 0.037902
42 0.00038 0.75053 0.5 45 6850 0.40403 -0.394 -0.345 Inf 0.652 0 0.244 0 0.35 0 0.055 0 0.106 0 0.007 0.002 1.412 0.001 -0.347 Inf 0.272 0 0.136 0 0.186 0 0.117 0 0.104 0 6.215 0.001 1.959 0.001 0.54558 0.01358 0.40378 0.033982
43 0.00038 0.75053 0.5 45 6900 0.39392 -0.405 -0.336 Inf 0.647 0 0.252 0 0.339 0 0.027 0 0.093 0 0.305 0.003 1.38 0.001 -0.338 Inf 0.282 0 0.137 0 0.175 0 0.088 0 0.092 0 6.136 0.001 2.023 0.001 0.53171 0.010043 0.39369 0.029719
44 0.00038 0.75053 0.5 45 6950 0.38415 -0.415 -0.335 Inf 0.642 0 0.255 0 0.325 0 0.016 0 0.084 0 1.434 0.004 1.337 0.001 -0.336 Inf 0.292 0 0.137 0 0.162 0 0.055 0 0.084 0 6.213 0.001 2.168 0.001 0.51835 0.006432 0.38393 0.024553
45 0.00038 0.75053 0.5 45 7000 0.37474 -0.426 -0.334 Inf 0.637 0 0.252 0 0.305 0 0.028 0 0.077 0 2.086 0.001 1.307 0 -0.334 Inf 0.3 0 0.134 0 0.149 0 0.027 0 0.077 0 0.474 0.002 2.282 0.001 0.50548 0.0030765 0.37452 0.019321
46 0.00038 0.75053 0.5 55 6150 0.97346 -0.012 -0.097 0.618 0.524 0 0.144 0 6.103 0.001 0.419 0.001 0.327 0.001 4.882 0.002 2.199 0.002 -0.087 0.403 -0.061 0 0.101 0 5.713 0.001 0.306 0.001 0.287 0.001 5.691 0.002 3.338 0.003 NA NA NA NA
47 0.00038 0.75053 0.5 55 6200 0.94095 -0.026 -0.094 0.634 0.518 0 0.179 0 6.062 0.001 0.325 0.001 0.291 0.001 4.722 0.002 2.12 0.003 -0.092 0.462 -0.052 0 0.124 0 5.729 0.001 0.235 0.001 0.254 0.001 5.398 0.003 3.1 0.003 0.94016 0.071186 0.67839 0.015991
48 0.00038 0.75053 0.5 55 6250 0.91084 -0.041 -0.094 0.661 0.512 0 0.214 0 6.009 0.001 0.254 0.001 0.267 0.001 4.466 0.003 2.068 0.004 -0.091 0.484 -0.043 0 0.147 0 5.718 0.001 0.18 0.001 0.236 0.001 5.007 0.004 2.941 0.004 0.90979 0.070281 0.65858 0.026369
49 0.00038 0.75053 0.5 55 6300 0.88253 -0.054 -0.091 0.695 0.508 0 0.249 0 5.99 0.001 0.215 0.001 0.243 0.001 4.086 0.004 2.01 0.004 -0.284 0.52 -0.033 0 0.17 0 5.73 0.001 0.157 0.001 0.216 0.001 4.46 0.005 2.806 0.004 0.88134 0.068014 0.63983 0.033162
50 0.00038 0.75053 0.5 55 6350 0.85571 -0.068 -0.089 0.748 0.505 0 0.284 0 6.001 0.001 0.215 0.001 0.222 0.001 3.682 0.004 1.906 0.005 -0.276 0.541 -0.023 0 0.193 0 5.762 0.001 0.174 0.001 0.195 0.001 3.937 0.006 2.651 0.005 0.85432 0.064995 0.62174 0.039913
51 0.00038 0.75053 0.5 55 6400 0.8303 -0.081 -0.092 0.869 0.502 0 0.317 0 6.02 0.001 0.239 0.001 0.197 0.001 3.375 0.004 1.738 0.004 -0.273 0.572 -0.013 0 0.214 0 5.797 0.001 0.213 0.001 0.172 0.001 3.598 0.004 2.438 0.005 0.82876 0.061039 0.60445 0.044415
52 0.00038 0.75053 0.5 55 6450 0.80604 -0.094 -0.125 0.949 0.501 0 0.345 0 6.038 0.001 0.272 0.001 0.177 0.001 3.184 0.003 1.491 0.005 -0.261 0.6 -0.002 0 0.23 0 5.816 0.001 0.244 0.001 0.161 0.001 3.436 0.003 2.194 0.005 0.80436 0.056556 0.58778 0.047791
53 0.00038 0.75053 0.5 55 6500 0.78284 -0.106 -0.128 1.012 0.5 0 0.371 0 6.066 0.001 0.306 0.001 0.164 0.001 3.07 0.004 1.173 0.008 -0.257 0.618 0.012 0 0.243 0 5.837 0.001 0.27 0.001 0.154 0.001 3.351 0.004 1.935 0.007 0.78118 0.05138 0.57181 0.048714
54 0.00038 0.75053 0.5 55 6550 0.76092 -0.119 -0.205 1.058 0.498 0 0.394 0 6.096 0.001 0.341 0.001 0.157 0.001 2.984 0.003 0.728 0.006 -0.282 0.727 0.025 0 0.254 0 5.862 0.001 0.296 0.001 0.149 0.001 3.289 0.003 1.558 0.005 0.75906 0.045813 0.55642 0.048376
55 0.00038 0.75053 0.5 55 6600 0.73943 -0.131 -0.201 Inf 0.498 0 0.415 0 6.132 0.001 0.372 0.001 0.174 0.001 2.927 0.004 0.286 0.008 -0.23 0.859 0.037 0 0.265 0 5.898 0.001 0.323 0.001 0.16 0.001 3.25 0.004 1.115 0.007 0.73788 0.039854 0.54161 0.046073
56 0.00038 0.75053 0.5 55 6650 0.71938 -0.143 -0.199 Inf 0.498 0 0.432 0 6.165 0.001 0.399 0.001 0.205 0.001 2.892 0.003 6.234 0.005 -0.2 0.919 0.049 0 0.274 0 5.937 0.001 0.35 0.001 0.188 0.001 3.219 0.002 0.711 0.004 0.71766 0.034056 0.52735 0.043261
57 0.00038 0.75053 0.5 55 6700 0.69928 -0.155 -0.199 Inf 0.5 0 0.443 0 6.193 0.001 0.421 0.001 0.233 0.001 2.867 0.003 5.996 0.005 -0.199 0.965 0.06 0 0.28 0 5.973 0.001 0.376 0.001 0.22 0.001 3.197 0.003 0.406 0.005 0.69827 0.028313 0.51361 0.03961
58 0.00038 0.75053 0.5 55 6750 0.50124 -0.3 -0.326 Inf 0.439 0 0.229 0 0.481 0 0.172 0 0.104 0 1.192 0.002 2.464 0.003 -0.334 Inf 0.035 0 0.125 0 0.31 0 0.17 0 0.103 0 1.153 0.002 2.828 0.003 0.67967 0.022865 0.50037 0.035831
59 0.00038 0.75053 0.5 55 6800 0.48791 -0.312 -0.341 Inf 0.434 0 0.233 0 0.445 0 0.15 0 0.088 0 1.092 0 2.333 0.001 -0.355 Inf 0.045 0 0.125 0 0.277 0 0.156 0 0.09 0 0.943 0.001 2.768 0.001 0.66179 0.01717 0.48759 0.030272
60 0.00038 0.75053 0.5 55 6850 0.47554 -0.323 -0.348 Inf 0.428 0 0.232 0 0.423 0 0.123 0 0.073 0 1.057 0 2.282 0.001 -0.347 Inf 0.054 0 0.123 0 0.257 0 0.135 0 0.078 0 0.761 0.001 2.834 0.001 0.64464 0.011741 0.47527 0.024094
61 0.00038 0.75053 0.5 55 6900 0.46361 -0.334 -0.347 Inf 0.421 0 0.224 0 0.407 0 0.099 0 0.06 0 1.096 0.001 2.315 0.001 -0.349 Inf 0.063 0 0.115 0 0.241 0 0.112 0 0.075 0 0.675 0.001 3.029 0.001 0.62812 0.0067288 0.46339 0.018226
62 0.00038 0.75053 0.5 55 6950 0.45209 -0.345 -0.343 Inf 0.414 0 0.202 0 0.425 0 0.083 0 0.047 0 1.209 0 2.459 0.001 -0.348 Inf 0.071 0 0.1 0 0.256 0 0.094 0 0.073 0 0.773 0.001 3.28 0.001 0.61223 0.0018589 0.45194 0.0114
63 0.00038 0.75053 0.5 65 6350 0.98729 -0.006 -0.259 0.715 0.322 0 0.301 0 5.944 0.001 0.132 0.001 0.136 0.001 3.863 0.005 2.123 0.005 -0.265 1.016 -0.205 0 0.202 0 5.711 0.001 0.091 0.001 0.116 0.001 3.958 0.007 2.849 0.006 0.98409 0.081647 0.7112 0.042698
64 0.00038 0.75053 0.5 65 6400 0.95758 -0.019 -0.258 0.757 0.32 0 0.335 0 6.004 0.001 0.179 0.001 0.106 0.001 3.43 0.003 2.073 0.005 -0.262 0.988 -0.195 0 0.223 0 5.782 0.001 0.152 0.001 0.089 0.001 3.602 0.004 2.761 0.007 0.95443 0.075239 0.69151 0.045691
65 0.00038 0.75053 0.5 65 6450 0.92944 -0.032 -0.255 0.848 0.318 0 0.362 0 6.064 0.001 0.222 0.001 0.092 0.001 3.222 0.004 1.908 0.009 -0.258 0.647 -0.182 0 0.239 0 5.84 0.001 0.194 0.001 0.082 0.001 3.477 0.005 2.548 0.011 0.92621 0.067781 0.67259 0.045585
66 0.00038 0.75053 0.5 65 6500 0.90222 -0.045 -0.247 0.946 0.317 0 0.387 0 6.102 0.001 0.265 0.001 0.077 0.001 3.085 0.005 1.64 0.015 -0.256 0.664 -0.169 0 0.25 0 5.874 0.001 0.231 0.001 0.076 0.001 3.384 0.005 2.341 0.015 0.89926 0.06029 0.65434 0.045008
67 0.00038 0.75053 0.5 65 6550 0.87662 -0.057 -0.258 Inf 0.316 0 0.409 0.001 6.119 0.001 0.307 0.001 0.068 0.001 2.99 0.005 1.211 0.019 -0.253 0.698 -0.156 0 0.261 0 5.888 0.001 0.265 0.001 0.071 0.001 3.312 0.005 2.068 0.017 0.87361 0.051935 0.63679 0.042506
68 0.00038 0.75053 0.5 65 6600 0.85171 -0.07 -0.255 Inf 0.314 0 0.43 0 6.127 0.001 0.343 0.001 0.076 0.001 2.915 0.003 0.665 0.013 -0.257 0.736 -0.143 0 0.269 0 5.894 0.001 0.296 0.001 0.074 0.001 3.25 0.004 1.633 0.012 0.84911 0.044234 0.61995 0.039048
69 0.00038 0.75053 0.5 65 6650 0.82794 -0.082 -0.204 Inf 0.313 0 0.446 0 6.134 0.001 0.371 0.001 0.099 0.001 2.861 0.003 0.275 0.008 -0.255 0.876 -0.132 0 0.277 0 5.907 0.001 0.327 0.001 0.09 0.001 3.197 0.003 1.137 0.008 0.82559 0.036297 0.60364 0.03442
70 0.00038 0.75053 0.5 65 6700 0.80543 -0.094 -0.226 Inf 0.313 0 0.457 0 6.154 0.001 0.387 0.001 0.127 0.001 2.823 0.002 0.051 0.006 -0.206 0.969 -0.122 0 0.284 0 5.937 0.001 0.349 0.001 0.116 0.001 3.152 0.002 0.785 0.005 0.80319 0.028819 0.58802 0.029069
71 0.00038 0.75053 0.5 65 6750 0.78354 -0.106 -0.222 Inf 0.313 0 0.464 0 6.174 0.001 0.398 0.001 0.153 0.001 2.79 0.002 6.168 0.005 -0.204 1.07 -0.112 0 0.288 0 5.969 0.001 0.365 0.001 0.147 0.001 3.114 0.002 0.527 0.004 0.78161 0.021552 0.57291 0.023368
72 0.00038 0.75053 0.5 65 6800 0.76246 -0.118 -0.221 Inf 0.31 0 0.466 0 6.107 0.001 0.399 0.001 0.17 0.001 2.735 0.002 5.968 0.003 -0.221 1.146 -0.1 0 0.287 0 5.917 0.001 0.37 0.001 0.168 0.001 3.046 0.002 0.265 0.004 0.76093 0.014264 0.55833 0.016565
73 0.00038 0.75053 0.5 65 6850 0.74229 -0.129 -0.221 Inf 0.302 0 0.457 0 6.016 0 0.391 0 0.168 0 2.675 0.001 5.801 0.002 -0.222 1.222 -0.092 0 0.28 0 5.84 0 0.367 0 0.17 0 2.969 0.001 0.034 0.003 0.74106 0.007425 0.54427 0.0094624
75 0.00038 0.75053 0.5 75 6550 0.99041 -0.004 -0.255 0.965 0.159 0 0.424 0 6.142 0.001 0.253 0.001 0.034 0.001 2.964 0.003 0.009 0.017 -0.238 0.976 -0.311 0 0.268 0 5.914 0.001 0.209 0.001 0.035 0.001 3.262 0.003 1.062 0.017 0.98571 0.055749 0.71448 0.031572
76 0.00038 0.75053 0.5 75 6600 0.96222 -0.017 -0.254 Inf 0.158 0 0.442 0 6.162 0.001 0.295 0.001 0.043 0.001 2.914 0.002 5.875 0.013 -0.235 0.976 -0.299 0 0.275 0 5.933 0.001 0.246 0.001 0.031 0.001 3.237 0.002 0.568 0.018 0.95789 0.045849 0.69566 0.026648
77 0.00038 0.75053 0.5 75 6650 0.93449 -0.029 -0.273 Inf 0.156 0 0.455 0 6.179 0.001 0.329 0.001 0.053 0.001 2.871 0.002 5.828 0.013 -0.229 0.825 -0.288 0 0.281 0 5.954 0.001 0.282 0.001 0.038 0.001 3.202 0.003 0.308 0.017 0.93128 0.036321 0.67753 0.021139
78 0.00038 0.75053 0.5 75 6700 0.90815 -0.042 -0.256 Inf 0.154 0 0.464 0 6.191 0.001 0.357 0.001 0.066 0.001 2.835 0.002 5.87 0.009 -0.246 0.905 -0.278 0 0.285 0 5.973 0.001 0.315 0.001 0.051 0.001 3.169 0.002 0.269 0.01 0.90579 0.027293 0.66003 0.015334
79 0.00038 0.75053 0.5 75 6750 0.88361 -0.054 -0.254 Inf 0.151 0 0.467 0 6.148 0 0.376 0 0.075 0 2.79 0.001 5.881 0.006 -0.253 1.053 -0.268 0 0.286 0 5.944 0 0.341 0 0.065 0 3.116 0.001 0.185 0.005 0.88137 0.018098 0.64319 0.0077715
80 0.00038 0.75053 0.5 75 6800 0.85951 -0.066 -0.254 Inf 0.143 0 0.456 0 6.028 0 0.38 0 0.078 0 2.723 0.001 5.749 0.003 -0.25 1.198 -0.259 0 0.278 0 5.846 0 0.354 0 0.076 0 3.033 0.001 6.232 0.003 0.85788 0.0086345 NA NA
81 0.00038 0.75053 0.5 85 6750 0.98175 -0.008 -0.264 Inf 0.01 0 0.463 0 6.141 0 0.339 0 0.075 0 2.811 0.001 5.221 0.002 -0.26 1.049 -0.405 0 0.282 0 5.938 0 0.3 0 0.071 0 3.132 0.001 5.678 0.002 0.97924 0.009858 NA NA
82 0.00038 0.75053 0.55 35 6050 0.67755 -0.169 -0.229 Inf 1.037 0 0.049 0 0.684 0 0.348 0 0.12 0 2.841 0 5.563 0 -0.207 0.621 0.414 0 0.026 0 0.2 0 0.417 0 0.155 0 3.753 0 0.67 0 0.67769 0.0027066 NA NA
83 0.00038 0.75053 0.55 35 6100 0.65 -0.187 -0.162 Inf 1.029 0 0.085 0 0.544 0 0.539 0 0.294 0 2.991 0 5.779 0 -0.146 0.56 0.423 0 0.047 0 0.064 0 0.597 0 0.343 0 3.894 0 0.902 0 0.65035 0.0083392 NA NA
84 0.00038 0.75053 0.55 35 6150 0.62578 -0.204 -0.133 Inf 1.021 0 0.108 0 0.381 0 0.56 0 0.365 0 3.177 0 6.086 0 -0.121 0.55 0.432 0 0.065 0 6.207 0 0.565 0 0.393 0 4.028 0 1.149 0 0.62609 0.012824 NA NA
85 0.00038 0.75053 0.55 35 6200 0.60398 -0.219 -0.113 Inf 1.015 0 0.133 0 0.22 0 0.517 0 0.379 0 3.324 0.001 0.078 0.001 -0.102 0.587 0.441 0 0.084 0 6.092 0 0.485 0 0.386 0 4.081 0.001 1.288 0.001 0.6042 0.015611 NA NA
