"Star" "dPt" "Oo" "Per" "Vmag" "Vmagi" "A1" "A2" "A3" "A4" "A5" "phi21" "phi31" "phi41" "phi51" "Vamp" "Sets"
"V040" "n" "I" 0.551538 15.717 15.677 0.336 0.16 0.119 0.076 0.049 2.297 4.957 1.372 4.156 0.98 "19,20,22,24"
"V042" "ni" "II" 0.5900917 15.563 15.495 0.437 0.217 0.144 0.096 0.07 2.356 5.055 1.43 4.263 1.25 "19,22"
"V046" "p" "I" 0.6133852 15.716 15.703 0.208 0.09 0.055 0.025 0.01 2.511 5.36 2.06 5.455 0.54 "19,22,24"
"V051" "n" "I" 0.5839691 15.692 15.663 0.295 0.14 0.102 0.062 0.034 2.375 5.109 1.656 4.548 0.85 "19,20,22,24"
"V053" "n" "I" 0.5048792 15.731 15.671 0.41 0.182 0.146 0.094 0.068 2.238 4.768 1.094 3.741 1.18 "20,22"
"V055" "p" "I" 0.529823 15.727 15.677 0.377 0.17 0.133 0.086 0.063 2.262 4.808 1.167 3.837 1.09 "21,22,24"
"V057" "ni" "I" 0.5121895 15.745 15.694 0.377 0.177 0.131 0.086 0.063 2.239 4.819 1.219 3.984 1.1 "18,19,21,22"
"V058" "i" "II" 0.5170556 15.668 15.597 0.443 0.207 0.155 0.103 0.074 2.255 4.856 1.125 3.806 1.29 "22"
"V060" "p" "II" 0.7077281 15.525 15.505 0.253 0.119 0.073 0.031 0.012 2.682 5.583 2.406 5.395 0.69 "19,22,24"
"V064" "s" "I" 0.6054587 15.691 15.67 0.253 0.12 0.078 0.043 0.019 2.459 5.282 1.919 5.022 0.71 "19,20,21,22,24"
"V065" "i" "II" 0.6683468 15.538 15.502 0.324 0.169 0.11 0.06 0.028 2.59 5.355 2.074 4.741 0.92 "19,20,21,22,24"
"V069" "p" "I" 0.5666166 15.709 15.677 0.303 0.149 0.109 0.068 0.038 2.332 5.048 1.51 4.366 0.89 "18,19,20,21,22"
"V072" "p" "I" 0.4560798 15.746 15.67 0.459 0.206 0.154 0.102 0.072 2.223 4.681 1.011 3.595 1.3 "21,22,24"
"V074" "p" "I" 0.4921539 15.752 15.685 0.43 0.195 0.153 0.101 0.073 2.268 4.733 1.066 3.661 1.26 "19,20,21,22"
"V076" "p" "I" 0.5017626 15.781 15.716 0.427 0.191 0.152 0.093 0.068 2.263 4.747 1.094 3.73 1.15 "18,19,22"
"V081" "pi" "I" 0.5291203 15.728 15.678 0.38 0.171 0.133 0.091 0.06 2.252 4.785 1.174 3.81 1.08 "19,21,22"
"V082" "p" "I" 0.5245273 15.702 15.649 0.386 0.172 0.134 0.092 0.062 2.246 4.721 1.087 3.707 1.12 "19"
"V083" "p" "I" 0.5012661 15.741 15.679 0.416 0.186 0.144 0.097 0.07 2.24 4.694 1.084 3.667 1.2 "21,22,24"
"V084" "n" "I" 0.5957282 15.681 15.66 0.253 0.122 0.083 0.047 0.022 2.403 5.222 1.796 4.826 0.73 "19,20,21,22"
"V089" "si" "I" 0.548479 15.688 15.644 0.351 0.168 0.125 0.08 0.053 2.282 4.938 1.322 4.016 1 "19,22,24"
"V090" "si" "I" 0.5170302 15.732 15.676 0.394 0.181 0.142 0.093 0.066 2.249 4.793 1.136 3.787 1.15 "19,20,21,22,24"
"V093" "i" "I" 0.6022962 15.659 15.637 0.258 0.121 0.087 0.047 0.024 2.411 5.176 1.758 4.721 0.74 "19,21,22"
"V094" "si" "I" 0.5236932 15.73 15.678 0.385 0.176 0.137 0.09 0.063 2.268 4.825 1.183 3.853 1.12 "19,21,22,24"
"V096" "n" "I" 0.4994147 15.718 15.653 0.424 0.195 0.152 0.098 0.071 2.255 4.803 1.164 3.777 1.24 "19,21,22"
"V100" "s" "I" 0.6188123 15.721 15.704 0.235 0.107 0.066 0.034 0.015 2.467 5.323 2.026 5.152 0.64 "19,21,22,24"
"V108" "p" "I" 0.5196107 15.754 15.7 0.388 0.181 0.14 0.094 0.063 2.251 4.793 1.134 3.823 1.14 "19,21,22"
"V109" "n" "I" 0.5339203 15.743 15.693 0.373 0.178 0.134 0.087 0.06 2.315 4.946 1.337 4.087 1.12 "18,19,22,24"
"V114" "s" "I" 0.5977291 15.717 15.689 0.28 0.146 0.094 0.062 0.038 2.261 5.163 1.402 4.512 0.84 "19,22"
"V116" "si" "I" 0.5148113 15.722 15.666 0.393 0.181 0.14 0.092 0.067 2.242 4.747 1.056 3.687 1.15 "22,24"
"V118" "p" "I" 0.4993901 15.754 15.692 0.418 0.184 0.147 0.098 0.069 2.265 4.784 1.118 3.753 1.21 "19,20,21,22,24"
"V119" "i" "I" 0.5176898 15.729 15.673 0.401 0.173 0.14 0.096 0.067 2.242 4.7 1.06 3.637 1.14 "19,21,22"
"V120" "si" "I" 0.6401391 15.634 15.625 0.176 0.07 0.036 0.014 0.007 2.538 5.45 2.477 6.024 0.42 "19,21,22,24"
"V124" "p" "II" 0.7524392 15.554 15.548 0.149 0.051 0.019 0.006 0.004 2.77 5.884 3.162 6.789 0.34 "19,20,22,24"
"V137" "p" "I" 0.5751487 15.651 15.62 0.298 0.141 0.113 0.073 0.044 2.32 4.961 1.439 4.28 0.9 "21,22"
"V139" "n" "II" 0.5599893 15.641 15.579 0.411 0.212 0.145 0.093 0.068 2.31 5.019 1.344 4.1 1.21 "21,22"
"V142" "p" "I" 0.568629 15.721 15.684 0.324 0.158 0.117 0.075 0.043 2.267 5.004 1.417 4.18 0.95 "21,22"
"V167" "ni" "I" 0.6439581 15.687 15.68 0.167 0.059 0.029 0.007 0.003 2.622 5.549 2.774 5.903 0.38 "22,24"
"V202" "s" "II" 0.7735715 15.556 15.555 0.071 0.011 0.002 0 0 2.723 6.678 2.711 8.38 0.15 "22,24"
