	Model_ID	Z	X	M	L	Teff	Period	logP	V_M0	V_err_M0	V_A1	V_A1_err	V_phi1	V_phi1_err	V_R21	V_R21_err	V_R31	V_R31_err	V_P21	V_P21_err	V_P31	V_P31_err	I_Skewness	I_acuteness	I_M0	I_err_M0	I_A1	I_A1_err	I_phi1	I_phi1_err	I_R21	I_R21_err	I_R31	I_R31_err	I_P21	I_P21_err	I_P31	I_P31_err
16	19	0.00038	0.75053	0.5	35	6900	0.32118	-0.493	0.925	0.0	0.246	0.0	0.262	0.0	0.093	0.0	0.148	0.0	3.669	0.002	0.939	0.001	-0.329	inf	0.553	0.0	0.139	0.0	0.084	0.0	0.097	0.0	0.148	0.0	4.641	0.002	1.579	0.001
17	20	0.00038	0.75053	0.5	35	6950	0.31313	-0.504	0.921	0.0	0.26	0.0	0.274	0.0	0.093	0.0	0.142	0.0	3.343	0.001	0.838	0.001	-0.323	inf	0.564	0.0	0.145	0.0	0.104	0.0	0.082	0.0	0.141	0.0	4.276	0.001	1.461	0.001
18	21	0.00038	0.75053	0.5	35	7000	0.30564	-0.515	0.918	0.0	0.269	0.0	0.271	0.0	0.1	0.0	0.133	0.0	3.106	0.001	0.713	0.001	-0.316	inf	0.572	0.0	0.15	0.0	0.118	0.0	0.08	0.0	0.124	0.0	3.727	0.001	1.282	0.001
19	22	0.00038	0.75053	0.5	35	7050	0.29822	-0.525	0.915	0.0	0.275	0.0	0.269	0.0	0.104	0.0	0.125	0.0	2.954	0.0	0.564	0.0	-0.318	inf	0.581	0.0	0.153	0.0	0.131	0.0	0.088	0.0	0.11	0.0	3.325	0.001	1.067	0.001
20	23	0.00038	0.75053	0.5	35	7100	0.29109	-0.536	0.911	0.0	0.276	0.0	0.264	0.0	0.106	0.0	0.117	0.0	2.842	0.0	0.399	0.0	-0.313	inf	0.589	0.0	0.153	0.0	0.141	0.0	0.099	0.0	0.099	0.0	3.024	0.0	0.813	0.0
37	40	0.00038	0.75053	0.5	45	6750	0.42461	-0.372	0.661	0.0	0.216	0.0	0.372	0.0	0.116	0.0	0.142	0.0	6.222	0.002	1.489	0.002	-0.359	inf	0.251	0.0	0.125	0.0	0.206	0.0	0.167	0.0	0.14	0.0	0.121	0.002	1.958	0.002
38	41	0.00038	0.75053	0.5	45	6800	0.41454	-0.382	0.656	0.0	0.233	0.0	0.357	0.0	0.086	0.0	0.122	0.0	6.229	0.001	1.444	0.001	-0.353	inf	0.262	0.0	0.132	0.0	0.192	0.0	0.143	0.0	0.12	0.0	0.024	0.001	1.932	0.001
39	42	0.00038	0.75053	0.5	45	6850	0.40403	-0.394	0.652	0.0	0.244	0.0	0.35	0.0	0.055	0.0	0.106	0.0	0.007	0.002	1.412	0.001	-0.347	inf	0.272	0.0	0.136	0.0	0.186	0.0	0.117	0.0	0.104	0.0	6.215	0.001	1.959	0.001
40	43	0.00038	0.75053	0.5	45	6900	0.39392	-0.405	0.647	0.0	0.252	0.0	0.339	0.0	0.027	0.0	0.093	0.0	0.305	0.003	1.38	0.001	-0.338	inf	0.282	0.0	0.137	0.0	0.175	0.0	0.088	0.0	0.092	0.0	6.136	0.001	2.023	0.001
41	44	0.00038	0.75053	0.5	45	6950	0.38415	-0.415	0.642	0.0	0.255	0.0	0.325	0.0	0.016	0.0	0.084	0.0	1.434	0.004	1.337	0.001	-0.336	inf	0.292	0.0	0.137	0.0	0.162	0.0	0.055	0.0	0.084	0.0	6.213	0.001	2.168	0.001
42	45	0.00038	0.75053	0.5	45	7000	0.37474	-0.426	0.637	0.0	0.252	0.0	0.305	0.0	0.028	0.0	0.077	0.0	2.086	0.001	1.307	0.0	-0.334	inf	0.3	0.0	0.134	0.0	0.149	0.0	0.027	0.0	0.077	0.0	0.474	0.002	2.282	0.001
55	58	0.00038	0.75053	0.5	55	6750	0.50124	-0.3	0.439	0.0	0.229	0.0	0.481	0.0	0.172	0.0	0.104	0.0	1.192	0.002	2.464	0.003	-0.334	inf	0.035	0.0	0.125	0.0	0.31	0.0	0.17	0.0	0.103	0.0	1.153	0.002	2.828	0.003
56	59	0.00038	0.75053	0.5	55	6800	0.48791	-0.312	0.434	0.0	0.233	0.0	0.445	0.0	0.15	0.0	0.088	0.0	1.092	0.0	2.333	0.001	-0.355	inf	0.045	0.0	0.125	0.0	0.277	0.0	0.156	0.0	0.09	0.0	0.943	0.001	2.768	0.001
57	60	0.00038	0.75053	0.5	55	6850	0.47554	-0.323	0.428	0.0	0.232	0.0	0.423	0.0	0.123	0.0	0.073	0.0	1.057	0.0	2.282	0.001	-0.347	inf	0.054	0.0	0.123	0.0	0.257	0.0	0.135	0.0	0.078	0.0	0.761	0.001	2.834	0.001
58	61	0.00038	0.75053	0.5	55	6900	0.46361	-0.334	0.421	0.0	0.224	0.0	0.407	0.0	0.099	0.0	0.06	0.0	1.096	0.001	2.315	0.001	-0.349	inf	0.063	0.0	0.115	0.0	0.241	0.0	0.112	0.0	0.075	0.0	0.675	0.001	3.029	0.001
59	62	0.00038	0.75053	0.5	55	6950	0.45209	-0.345	0.414	0.0	0.202	0.0	0.425	0.0	0.083	0.0	0.047	0.0	1.209	0.0	2.459	0.001	-0.348	inf	0.071	0.0	0.1	0.0	0.256	0.0	0.094	0.0	0.073	0.0	0.773	0.001	3.28	0.001
93	99	0.00038	0.75053	0.55	35	6900	0.30299	-0.519	0.928	0.0	0.256	0.0	0.219	0.001	0.147	0.001	0.166	0.001	3.197	0.006	0.495	0.006	-0.314	0.852	0.554	0.0	0.147	0.0	0.047	0.001	0.118	0.001	0.17	0.001	3.861	0.007	1.091	0.005
94	100	0.00038	0.75053	0.55	35	6950	0.29514	-0.53	0.925	0.0	0.269	0.0	0.207	0.0	0.148	0.0	0.151	0.0	3.032	0.001	0.368	0.001	-0.311	0.873	0.564	0.0	0.153	0.0	0.049	0.0	0.122	0.0	0.152	0.0	3.604	0.001	0.877	0.001
95	101	0.00038	0.75053	0.55	35	7000	0.28815	-0.54	0.922	0.0	0.281	0.0	0.199	0.0	0.155	0.0	0.138	0.0	2.938	0.001	0.172	0.001	-0.297	inf	0.573	0.0	0.16	0.0	0.058	0.0	0.137	0.0	0.131	0.0	3.369	0.001	0.574	0.001
96	102	0.00038	0.75053	0.55	35	7050	0.28111	-0.551	0.92	0.0	0.29	0.0	0.217	0.0	0.157	0.0	0.131	0.0	2.856	0.001	6.267	0.001	-0.275	inf	0.581	0.0	0.165	0.0	0.089	0.0	0.147	0.0	0.121	0.0	3.172	0.001	0.272	0.001
97	103	0.00038	0.75053	0.55	35	7100	0.27455	-0.561	0.917	0.0	0.291	0.0	0.175	0.0	0.16	0.0	0.114	0.0	2.823	0.0	6.09	0.0	-0.28	inf	0.59	0.0	0.166	0.0	0.065	0.0	0.16	0.0	0.103	0.0	3.036	0.0	6.232	0.001
98	104	0.00038	0.75053	0.55	35	7150	0.26807	-0.572	0.914	0.0	0.288	0.0	0.157	0.0	0.158	0.0	0.105	0.0	2.809	0.0	5.957	0.001	-0.275	inf	0.599	0.0	0.165	0.0	0.061	0.0	0.168	0.0	0.098	0.0	2.918	0.0	5.977	0.001
114	122	0.00038	0.75053	0.55	45	6800	0.39055	-0.408	0.658	0.0	0.235	0.0	0.255	0.0	0.073	0.0	0.136	0.0	4.646	0.002	1.17	0.001	-0.341	inf	0.262	0.0	0.137	0.0	0.089	0.0	0.114	0.0	0.134	0.0	5.387	0.001	1.713	0.001
115	123	0.00038	0.75053	0.55	45	6850	0.38052	-0.42	0.654	0.0	0.25	0.0	0.262	0.0	0.054	0.0	0.128	0.0	4.08	0.002	1.129	0.001	-0.333	inf	0.273	0.0	0.142	0.0	0.094	0.0	0.086	0.0	0.127	0.0	5.182	0.002	1.707	0.001
116	124	0.00038	0.75053	0.55	45	6900	0.37116	-0.43	0.65	0.0	0.263	0.0	0.272	0.0	0.056	0.0	0.121	0.0	3.424	0.002	1.059	0.001	-0.328	inf	0.283	0.0	0.146	0.0	0.104	0.0	0.062	0.0	0.122	0.0	4.846	0.002	1.675	0.001
117	125	0.00038	0.75053	0.55	45	6950	0.36192	-0.441	0.646	0.0	0.27	0.0	0.273	0.0	0.07	0.0	0.113	0.0	3.073	0.001	0.965	0.001	-0.322	inf	0.293	0.0	0.149	0.0	0.112	0.0	0.045	0.0	0.109	0.0	4.207	0.002	1.642	0.001
118	126	0.00038	0.75053	0.55	45	7000	0.3531	-0.452	0.642	0.0	0.273	0.0	0.268	0.0	0.08	0.0	0.106	0.0	2.879	0.0	0.872	0.0	-0.319	inf	0.301	0.0	0.151	0.0	0.121	0.0	0.052	0.0	0.095	0.0	3.46	0.001	1.535	0.001
119	127	0.00038	0.75053	0.55	45	7050	0.34458	-0.463	0.638	0.0	0.268	0.0	0.251	0.0	0.085	0.0	0.099	0.0	2.732	0.0	0.781	0.0	-0.321	inf	0.309	0.0	0.147	0.0	0.117	0.0	0.068	0.0	0.082	0.0	2.981	0.001	1.419	0.001
132	140	0.00038	0.75053	0.55	55	6700	0.48495	-0.314	0.446	0.0	0.221	0.0	0.373	0.001	0.127	0.001	0.144	0.001	0.317	0.005	1.672	0.004	-0.359	inf	0.025	0.0	0.128	0.0	0.213	0.001	0.164	0.001	0.147	0.001	0.415	0.004	2.074	0.004
133	141	0.00038	0.75053	0.55	55	6750	0.47166	-0.326	0.442	0.0	0.235	0.0	0.367	0.0	0.106	0.0	0.124	0.0	0.327	0.001	1.594	0.001	-0.355	inf	0.035	0.0	0.134	0.0	0.207	0.0	0.149	0.0	0.126	0.0	0.332	0.001	2.02	0.001
134	142	0.00038	0.75053	0.55	55	6800	0.45965	-0.338	0.437	0.0	0.246	0.0	0.357	0.0	0.08	0.0	0.106	0.0	0.392	0.001	1.55	0.001	-0.346	inf	0.046	0.0	0.138	0.0	0.199	0.0	0.126	0.0	0.107	0.0	0.231	0.001	2.007	0.001
135	143	0.00038	0.75053	0.55	55	6850	0.448	-0.349	0.432	0.0	0.254	0.0	0.344	0.0	0.054	0.0	0.09	0.0	0.578	0.002	1.52	0.001	-0.343	inf	0.056	0.0	0.139	0.0	0.186	0.0	0.1	0.0	0.091	0.0	0.129	0.001	2.052	0.001
136	144	0.00038	0.75053	0.55	55	6900	0.43682	-0.36	0.427	0.0	0.256	0.0	0.325	0.0	0.038	0.0	0.077	0.0	1.034	0.002	1.504	0.001	-0.333	inf	0.066	0.0	0.138	0.0	0.167	0.0	0.072	0.0	0.08	0.0	0.103	0.001	2.186	0.001
137	145	0.00038	0.75053	0.55	55	6950	0.42599	-0.371	0.422	0.0	0.251	0.0	0.303	0.0	0.037	0.0	0.068	0.0	1.602	0.001	1.488	0.001	-0.337	inf	0.074	0.0	0.134	0.0	0.146	0.0	0.046	0.0	0.074	0.0	0.336	0.001	2.392	0.001
147	156	0.00038	0.75053	0.55	65	6750	0.54024	-0.267	0.257	0.0	0.236	0.0	0.445	0.0	0.167	0.0	0.094	0.0	1.179	0.0	2.404	0.001	-0.343	inf	-0.145	0.0	0.129	0.0	0.282	0.0	0.165	0.0	0.094	0.0	1.104	0.001	2.729	0.001
148	157	0.00038	0.75053	0.55	65	6800	0.52643	-0.279	0.251	0.0	0.237	0.0	0.417	0.0	0.14	0.0	0.077	0.0	1.101	0.0	2.318	0.001	-0.353	inf	-0.136	0.0	0.127	0.0	0.256	0.0	0.145	0.0	0.08	0.0	0.884	0.001	2.732	0.001
149	158	0.00038	0.75053	0.55	65	6850	0.5131	-0.29	0.244	0.0	0.231	0.0	0.395	0.0	0.113	0.0	0.063	0.0	1.12	0.001	2.302	0.001	-0.349	inf	-0.127	0.0	0.121	0.0	0.234	0.0	0.12	0.0	0.071	0.0	0.737	0.001	2.865	0.001
150	159	0.00038	0.75053	0.55	65	6900	0.50026	-0.301	0.237	0.0	0.212	0.0	0.399	0.0	0.091	0.0	0.051	0.0	1.191	0.0	2.481	0.001	-0.351	inf	-0.119	0.0	0.108	0.0	0.237	0.0	0.099	0.0	0.069	0.0	0.651	0.001	3.184	0.001
176	191	0.00038	0.75053	0.57	35	6900	0.29706	-0.527	0.928	0.0	0.262	0.0	0.174	0.0	0.161	0.0	0.16	0.0	3.115	0.002	0.3	0.003	-0.308	0.855	0.554	0.0	0.151	0.0	0.005	0.0	0.126	0.0	0.164	0.0	3.727	0.003	0.881	0.003
177	192	0.00038	0.75053	0.57	35	6950	0.28903	-0.539	0.926	0.0	0.274	0.0	0.175	0.0	0.169	0.0	0.144	0.0	2.984	0.001	0.136	0.001	-0.289	0.866	0.564	0.0	0.157	0.0	0.021	0.0	0.142	0.0	0.144	0.0	3.492	0.001	0.609	0.001
178	193	0.00038	0.75053	0.57	35	7000	0.28189	-0.55	0.924	0.0	0.285	0.0	0.173	0.0	0.179	0.0	0.132	0.0	2.888	0.0	6.216	0.001	-0.281	0.923	0.573	0.0	0.164	0.0	0.034	0.0	0.161	0.0	0.127	0.0	3.281	0.001	0.283	0.001
179	194	0.00038	0.75053	0.57	35	7050	0.27514	-0.56	0.921	0.0	0.293	0.0	0.163	0.0	0.188	0.0	0.119	0.0	2.828	0.0	6.006	0.0	-0.261	inf	0.582	0.0	0.168	0.0	0.039	0.0	0.179	0.0	0.113	0.0	3.133	0.0	6.22	0.001
180	195	0.00038	0.75053	0.57	35	7100	0.26865	-0.571	0.919	0.0	0.296	0.0	0.147	0.0	0.189	0.0	0.107	0.0	2.803	0.0	5.855	0.001	-0.264	inf	0.591	0.0	0.17	0.0	0.039	0.0	0.192	0.0	0.103	0.0	3.022	0.0	5.923	0.001
181	196	0.00038	0.75053	0.57	35	7150	0.26238	-0.581	0.917	0.0	0.294	0.0	0.136	0.0	0.188	0.0	0.096	0.0	2.786	0.0	5.732	0.001	-0.292	inf	0.6	0.0	0.17	0.0	0.042	0.0	0.202	0.0	0.097	0.0	2.917	0.0	5.685	0.001
198	214	0.00038	0.75053	0.57	45	6800	0.38108	-0.419	0.659	0.0	0.236	0.0	0.232	0.0	0.087	0.0	0.147	0.0	4.201	0.003	1.116	0.002	-0.338	inf	0.262	0.0	0.138	0.0	0.064	0.0	0.108	0.0	0.146	0.0	5.034	0.002	1.673	0.002
199	215	0.00038	0.75053	0.57	45	6850	0.37191	-0.43	0.655	0.0	0.252	0.0	0.241	0.0	0.078	0.0	0.139	0.0	3.667	0.001	1.052	0.001	-0.328	inf	0.273	0.0	0.145	0.0	0.072	0.0	0.083	0.0	0.141	0.0	4.715	0.001	1.636	0.001
200	216	0.00038	0.75053	0.57	45	6900	0.36283	-0.44	0.651	0.0	0.265	0.0	0.25	0.0	0.085	0.0	0.131	0.0	3.249	0.001	0.953	0.001	-0.321	inf	0.283	0.0	0.148	0.0	0.082	0.0	0.069	0.0	0.133	0.0	4.329	0.002	1.563	0.001
201	217	0.00038	0.75053	0.57	45	6950	0.35394	-0.451	0.648	0.0	0.275	0.0	0.256	0.0	0.095	0.0	0.124	0.0	3.017	0.001	0.821	0.0	-0.319	inf	0.293	0.0	0.153	0.0	0.099	0.0	0.067	0.0	0.12	0.0	3.792	0.001	1.429	0.001
202	218	0.00038	0.75053	0.57	45	7000	0.34535	-0.462	0.644	0.0	0.279	0.0	0.25	0.0	0.103	0.0	0.115	0.0	2.87	0.0	0.69	0.0	-0.309	inf	0.301	0.0	0.155	0.0	0.107	0.0	0.079	0.0	0.102	0.0	3.348	0.001	1.256	0.001
203	219	0.00038	0.75053	0.57	45	7050	0.33703	-0.472	0.64	0.0	0.278	0.0	0.242	0.0	0.107	0.0	0.108	0.0	2.758	0.0	0.544	0.0	-0.313	inf	0.309	0.0	0.154	0.0	0.112	0.0	0.092	0.0	0.088	0.0	3.033	0.001	1.048	0.001
218	234	0.00038	0.75053	0.57	55	6700	0.4738	-0.324	0.446	0.0	0.222	0.0	0.329	0.0	0.115	0.0	0.148	0.0	6.139	0.002	1.446	0.002	-0.355	inf	0.024	0.0	0.13	0.0	0.17	0.0	0.159	0.0	0.149	0.0	0.076	0.001	1.874	0.002
219	235	0.00038	0.75053	0.57	55	6750	0.46122	-0.336	0.443	0.0	0.236	0.0	0.324	0.0	0.083	0.0	0.128	0.0	6.155	0.001	1.403	0.001	-0.353	inf	0.035	0.0	0.136	0.0	0.166	0.0	0.135	0.0	0.128	0.0	6.283	0.001	1.849	0.001
220	236	0.00038	0.75053	0.57	55	6800	0.44942	-0.347	0.439	0.0	0.249	0.0	0.319	0.0	0.051	0.0	0.111	0.0	6.23	0.002	1.381	0.001	-0.35	inf	0.046	0.0	0.141	0.0	0.161	0.0	0.108	0.0	0.112	0.0	6.194	0.001	1.858	0.001
221	237	0.00038	0.75053	0.57	55	6850	0.43808	-0.358	0.434	0.0	0.258	0.0	0.313	0.0	0.022	0.0	0.097	0.0	0.325	0.006	1.352	0.001	-0.343	inf	0.056	0.0	0.143	0.0	0.154	0.0	0.08	0.0	0.099	0.0	6.084	0.002	1.891	0.002
222	238	0.00038	0.75053	0.57	55	6900	0.42715	-0.369	0.429	0.0	0.263	0.0	0.3	0.0	0.019	0.0	0.087	0.0	1.829	0.005	1.319	0.001	-0.331	inf	0.066	0.0	0.144	0.0	0.141	0.0	0.051	0.0	0.088	0.0	6.008	0.002	1.975	0.001
223	239	0.00038	0.75053	0.57	55	6950	0.41661	-0.38	0.424	0.0	0.262	0.0	0.284	0.0	0.035	0.0	0.078	0.0	2.295	0.001	1.299	0.001	-0.335	inf	0.075	0.0	0.141	0.0	0.128	0.0	0.022	0.0	0.079	0.0	6.168	0.003	2.15	0.001
233	250	0.00038	0.75053	0.57	65	6700	0.54192	-0.266	0.264	0.0	0.233	0.0	0.422	0.0	0.163	0.0	0.119	0.0	1.0	0.001	2.19	0.002	-0.357	inf	-0.155	0.0	0.131	0.0	0.263	0.0	0.171	0.0	0.12	0.0	0.995	0.001	2.507	0.002
234	251	0.00038	0.75053	0.57	65	6750	0.52833	-0.277	0.259	0.0	0.241	0.0	0.404	0.0	0.143	0.0	0.102	0.0	0.931	0.001	2.048	0.001	-0.351	inf	-0.145	0.0	0.134	0.0	0.246	0.0	0.157	0.0	0.104	0.0	0.826	0.001	2.407	0.001
235	252	0.00038	0.75053	0.57	65	6800	0.51483	-0.288	0.253	0.0	0.246	0.0	0.388	0.0	0.118	0.0	0.085	0.0	0.927	0.001	1.961	0.001	-0.342	inf	-0.135	0.0	0.134	0.0	0.232	0.0	0.136	0.0	0.088	0.0	0.682	0.001	2.379	0.001
236	253	0.00038	0.75053	0.57	65	6850	0.50181	-0.299	0.247	0.0	0.244	0.0	0.364	0.0	0.092	0.0	0.068	0.0	0.993	0.001	1.981	0.001	-0.351	inf	-0.126	0.0	0.13	0.0	0.208	0.0	0.11	0.0	0.073	0.0	0.536	0.001	2.523	0.001
237	254	0.00038	0.75053	0.57	65	6900	0.48924	-0.31	0.24	0.0	0.234	0.0	0.341	0.0	0.075	0.0	0.057	0.0	1.156	0.001	2.066	0.001	-0.349	inf	-0.117	0.0	0.122	0.0	0.184	0.0	0.087	0.0	0.07	0.0	0.513	0.001	2.795	0.001
244	262	0.00038	0.75053	0.57	75	6750	0.59323	-0.227	0.098	0.0	0.226	0.0	0.484	0.0	0.178	0.0	0.074	0.0	1.425	0.0	2.894	0.001	-0.339	inf	-0.301	0.0	0.121	0.0	0.317	0.0	0.156	0.0	0.068	0.0	1.35	0.001	3.185	0.001
245	263	0.00038	0.75053	0.57	75	6800	0.57816	-0.238	0.09	0.0	0.215	0.0	0.461	0.0	0.143	0.0	0.06	0.0	1.308	0.0	2.866	0.001	-0.354	inf	-0.293	0.0	0.112	0.0	0.297	0.0	0.13	0.0	0.063	0.0	1.034	0.001	3.296	0.001
246	264	0.00038	0.75053	0.57	75	6850	0.56351	-0.249	0.082	0.0	0.187	0.0	0.495	0.0	0.109	0.0	0.045	0.0	1.275	0.001	3.041	0.001	-0.356	inf	-0.286	0.0	0.095	0.0	0.328	0.0	0.106	0.0	0.063	0.0	0.8	0.001	3.653	0.001
265	287	0.00038	0.75053	0.59	35	6900	0.28909	-0.539	0.93	0.0	0.261	0.0	0.17	0.0	0.179	0.0	0.155	0.0	3.069	0.003	0.129	0.003	-0.295	0.848	0.554	0.0	0.152	0.0	0.001	0.0	0.141	0.0	0.158	0.0	3.631	0.003	0.706	0.003
266	288	0.00038	0.75053	0.59	35	6950	0.2826	-0.549	0.928	0.0	0.277	0.0	0.162	0.0	0.193	0.0	0.136	0.0	2.931	0.001	6.201	0.001	-0.274	0.873	0.564	0.0	0.16	0.0	0.009	0.0	0.164	0.0	0.137	0.0	3.391	0.001	0.366	0.002
267	289	0.00038	0.75053	0.59	35	7000	0.2759	-0.559	0.925	0.0	0.29	0.0	0.159	0.0	0.207	0.0	0.124	0.0	2.845	0.0	5.974	0.001	-0.254	0.957	0.573	0.0	0.168	0.0	0.021	0.0	0.189	0.0	0.122	0.0	3.213	0.001	0.004	0.001
268	290	0.00038	0.75053	0.59	35	7050	0.26948	-0.569	0.923	0.0	0.298	0.0	0.147	0.0	0.216	0.0	0.111	0.0	2.794	0.0	5.776	0.001	-0.26	inf	0.582	0.0	0.172	0.0	0.025	0.0	0.209	0.0	0.11	0.0	3.088	0.0	5.946	0.001
269	291	0.00038	0.75053	0.59	35	7100	0.26314	-0.58	0.922	0.0	0.301	0.0	0.132	0.0	0.22	0.0	0.098	0.0	2.764	0.0	5.623	0.0	-0.292	inf	0.591	0.0	0.175	0.0	0.025	0.0	0.226	0.0	0.101	0.0	2.986	0.0	5.642	0.001
270	292	0.00038	0.75053	0.59	35	7150	0.25696	-0.59	0.921	0.0	0.302	0.0	0.152	0.0	0.217	0.0	0.095	0.0	2.747	0.0	5.554	0.001	-0.289	inf	0.599	0.0	0.176	0.0	0.057	0.0	0.237	0.0	0.103	0.0	2.897	0.001	5.496	0.001
286	310	0.00038	0.75053	0.59	45	6850	0.3639	-0.439	0.656	0.0	0.254	0.0	0.224	0.0	0.1	0.0	0.15	0.0	3.448	0.001	0.946	0.001	-0.326	inf	0.273	0.0	0.147	0.0	0.055	0.0	0.087	0.0	0.153	0.0	4.346	0.002	1.53	0.001
287	311	0.00038	0.75053	0.59	45	6900	0.35497	-0.45	0.653	0.0	0.268	0.0	0.236	0.0	0.108	0.0	0.14	0.0	3.131	0.001	0.808	0.001	-0.318	inf	0.284	0.0	0.151	0.0	0.069	0.0	0.082	0.0	0.145	0.0	3.974	0.002	1.399	0.001
288	312	0.00038	0.75053	0.59	45	6950	0.34642	-0.46	0.649	0.0	0.279	0.0	0.236	0.0	0.117	0.0	0.131	0.0	2.963	0.001	0.651	0.001	-0.313	inf	0.293	0.0	0.157	0.0	0.082	0.0	0.09	0.0	0.127	0.0	3.581	0.001	1.202	0.001
289	313	0.00038	0.75053	0.59	45	7000	0.33804	-0.471	0.646	0.0	0.284	0.0	0.229	0.0	0.123	0.0	0.121	0.0	2.847	0.001	0.483	0.001	-0.31	inf	0.302	0.0	0.159	0.0	0.09	0.0	0.102	0.0	0.108	0.0	3.27	0.001	0.96	0.001
290	314	0.00038	0.75053	0.59	45	7050	0.32993	-0.482	0.642	0.0	0.286	0.0	0.222	0.0	0.126	0.0	0.111	0.0	2.767	0.0	0.31	0.0	-0.302	inf	0.31	0.0	0.16	0.0	0.098	0.0	0.113	0.0	0.092	0.0	3.046	0.001	0.697	0.001
304	329	0.00038	0.75053	0.59	55	6700	0.46374	-0.334	0.447	0.0	0.221	0.0	0.285	0.0	0.106	0.0	0.148	0.0	5.67	0.003	1.303	0.002	-0.355	inf	0.024	0.0	0.132	0.0	0.126	0.0	0.15	0.0	0.148	0.0	6.03	0.002	1.754	0.002
305	330	0.00038	0.75053	0.59	55	6750	0.45131	-0.346	0.443	0.0	0.237	0.0	0.282	0.0	0.069	0.0	0.13	0.0	5.59	0.001	1.289	0.001	-0.348	inf	0.035	0.0	0.138	0.0	0.123	0.0	0.122	0.0	0.13	0.0	5.946	0.001	1.757	0.001
306	331	0.00038	0.75053	0.59	55	6800	0.43975	-0.357	0.439	0.0	0.25	0.0	0.282	0.0	0.032	0.0	0.116	0.0	5.369	0.002	1.275	0.001	-0.341	inf	0.046	0.0	0.143	0.0	0.122	0.0	0.091	0.0	0.117	0.0	5.818	0.001	1.773	0.001
307	332	0.00038	0.75053	0.59	55	6850	0.42877	-0.368	0.435	0.0	0.261	0.0	0.283	0.0	0.012	0.0	0.105	0.0	3.815	0.009	1.237	0.001	-0.33	inf	0.057	0.0	0.147	0.0	0.123	0.0	0.064	0.0	0.107	0.0	5.639	0.002	1.784	0.001
308	333	0.00038	0.75053	0.59	55	6900	0.41801	-0.379	0.43	0.0	0.269	0.0	0.279	0.0	0.034	0.0	0.096	0.0	2.85	0.002	1.189	0.001	-0.325	inf	0.067	0.0	0.148	0.0	0.119	0.0	0.037	0.0	0.098	0.0	5.332	0.002	1.824	0.001
309	334	0.00038	0.75053	0.59	55	6950	0.40772	-0.39	0.425	0.0	0.27	0.0	0.269	0.0	0.053	0.0	0.088	0.0	2.699	0.001	1.126	0.001	-0.319	inf	0.076	0.0	0.147	0.0	0.114	0.0	0.014	0.0	0.086	0.0	4.333	0.004	1.913	0.001
310	335	0.00038	0.75053	0.59	55	7000	0.39777	-0.4	0.42	0.0	0.264	0.0	0.248	0.0	0.065	0.0	0.082	0.0	2.579	0.001	1.083	0.0	-0.323	inf	0.083	0.0	0.143	0.0	0.103	0.0	0.031	0.0	0.074	0.0	2.889	0.002	1.932	0.001
321	347	0.00038	0.75053	0.59	65	6700	0.53093	-0.275	0.264	0.0	0.235	0.0	0.381	0.0	0.137	0.0	0.128	0.0	0.696	0.001	1.857	0.001	-0.347	inf	-0.155	0.0	0.134	0.0	0.226	0.0	0.16	0.0	0.131	0.0	0.69	0.001	2.205	0.001
322	348	0.00038	0.75053	0.59	65	6750	0.51702	-0.286	0.26	0.0	0.245	0.0	0.376	0.0	0.115	0.0	0.108	0.0	0.675	0.001	1.755	0.001	-0.347	inf	-0.144	0.0	0.138	0.0	0.221	0.0	0.144	0.0	0.112	0.0	0.558	0.001	2.138	0.001
323	349	0.00038	0.75053	0.59	65	6800	0.50382	-0.298	0.255	0.0	0.252	0.0	0.36	0.0	0.09	0.0	0.091	0.0	0.752	0.001	1.695	0.001	-0.344	inf	-0.134	0.0	0.139	0.0	0.206	0.0	0.12	0.0	0.094	0.0	0.455	0.001	2.127	0.001
324	350	0.00038	0.75053	0.59	65	6850	0.49112	-0.309	0.249	0.0	0.254	0.0	0.338	0.0	0.068	0.0	0.074	0.0	0.929	0.002	1.699	0.001	-0.341	inf	-0.125	0.0	0.137	0.0	0.183	0.0	0.094	0.0	0.078	0.0	0.34	0.001	2.23	0.002
325	351	0.00038	0.75053	0.59	65	6900	0.47882	-0.32	0.243	0.0	0.249	0.0	0.312	0.0	0.055	0.0	0.063	0.0	1.249	0.001	1.735	0.001	-0.342	inf	-0.116	0.0	0.132	0.0	0.158	0.0	0.069	0.0	0.071	0.0	0.36	0.001	2.459	0.001
332	359	0.00038	0.75053	0.59	75	6700	0.59607	-0.225	0.106	0.0	0.235	0.0	0.486	0.0	0.191	0.0	0.099	0.0	1.35	0.001	2.656	0.001	-0.333	inf	-0.31	0.0	0.13	0.0	0.323	0.0	0.177	0.0	0.093	0.0	1.364	0.001	2.898	0.001
333	360	0.00038	0.75053	0.59	75	6750	0.58072	-0.236	0.1	0.0	0.238	0.0	0.433	0.0	0.165	0.0	0.082	0.0	1.228	0.0	2.499	0.001	-0.336	inf	-0.3	0.0	0.129	0.0	0.275	0.0	0.158	0.0	0.082	0.0	1.115	0.001	2.791	0.001
