	Model_ID	Z	X	M	L	Teff	Period	logP	V_M0	V_err_M0	V_A1	V_A1_err	V_phi1	V_phi1_err	V_R21	V_R21_err	V_R31	V_R31_err	V_P21	V_P21_err	V_P31	V_P31_err	I_Skewness	I_acuteness	I_M0	I_err_M0	I_A1	I_A1_err	I_phi1	I_phi1_err	I_R21	I_R21_err	I_R31	I_R31_err	I_P21	I_P21_err	I_P31	I_P31_err
0	1	0.00038	0.75053	0.5	35	6000	0.75346	-0.123	1.043	0.0	0.01	0.0	0.653	0.0	0.091	0.0	0.009	0.0	3.097	0.0	0.137	0.002	-0.289	0.742	0.404	0.0	0.005	0.0	0.083	0.0	0.102	0.0	0.011	0.0	4.174	0.0	1.88	0.004
1	2	0.00038	0.75053	0.5	35	6050	0.72079	-0.142	1.035	0.0	0.064	0.0	0.538	0.0	0.56	0.0	0.289	0.0	3.168	0.0	6.182	0.0	-0.155	0.387	0.413	0.0	0.035	0.0	6.261	0.0	0.619	0.0	0.34	0.0	4.231	0.0	1.527	0.0
2	3	0.00038	0.75053	0.5	35	6100	0.69229	-0.16	1.027	0.0	0.086	0.0	0.401	0.0	0.631	0.0	0.4	0.0	3.348	0.0	0.13	0.0	-0.123	0.391	0.423	0.0	0.051	0.0	6.155	0.0	0.64	0.0	0.43	0.0	4.347	0.0	1.681	0.0
3	4	0.00038	0.75053	0.5	35	6150	0.66689	-0.176	1.02	0.0	0.107	0.0	0.249	0.0	0.592	0.0	0.435	0.0	3.526	0.0	0.402	0.001	-0.1	0.422	0.432	0.0	0.068	0.0	6.059	0.0	0.552	0.0	0.438	0.0	4.407	0.0	1.795	0.001
4	5	0.00038	0.75053	0.5	35	6200	0.64382	-0.191	1.014	0.0	0.133	0.0	0.091	0.0	0.514	0.0	0.425	0.0	3.644	0.001	0.598	0.001	-0.091	0.477	0.44	0.0	0.088	0.0	5.964	0.0	0.453	0.0	0.412	0.0	4.395	0.001	1.806	0.001
5	6	0.00038	0.75053	0.5	35	6250	0.62269	-0.206	1.008	0.0	0.162	0.0	6.247	0.0	0.435	0.001	0.392	0.001	3.675	0.001	0.707	0.002	-0.093	0.562	0.449	0.0	0.11	0.0	5.893	0.0	0.372	0.001	0.375	0.001	4.306	0.002	1.748	0.002
6	7	0.00038	0.75053	0.5	35	6300	0.60313	-0.22	1.003	0.0	0.194	0.0	6.168	0.001	0.377	0.001	0.352	0.001	3.602	0.003	0.74	0.003	-0.089	0.616	0.458	0.0	0.132	0.0	5.855	0.001	0.32	0.001	0.334	0.001	4.126	0.003	1.65	0.004
7	8	0.00038	0.75053	0.5	35	6350	0.58481	-0.233	0.999	0.0	0.226	0.0	6.137	0.001	0.353	0.001	0.302	0.001	3.445	0.004	0.712	0.005	-0.089	0.664	0.467	0.0	0.154	0.0	5.855	0.001	0.303	0.001	0.281	0.001	3.877	0.005	1.513	0.006
8	9	0.00038	0.75053	0.5	35	6400	0.56756	-0.246	0.996	0.0	0.258	0.0	6.145	0.001	0.363	0.001	0.252	0.001	3.242	0.004	0.62	0.006	-0.09	0.672	0.477	0.0	0.176	0.0	5.884	0.001	0.323	0.001	0.227	0.001	3.614	0.004	1.337	0.006
9	10	0.00038	0.75053	0.5	35	6450	0.55122	-0.259	0.994	0.0	0.289	0.0	6.172	0.001	0.393	0.001	0.206	0.001	3.028	0.005	0.456	0.008	-0.235	0.65	0.488	0.0	0.196	0.0	5.919	0.001	0.359	0.001	0.181	0.001	3.385	0.004	1.157	0.007
10	11	0.00038	0.75053	0.5	35	6500	0.53572	-0.271	0.994	0.0	0.318	0.0	6.199	0.001	0.431	0.001	0.18	0.001	2.845	0.003	0.206	0.007	-0.23	0.642	0.5	0.0	0.212	0.0	5.948	0.001	0.398	0.001	0.158	0.001	3.21	0.003	0.935	0.006
11	12	0.00038	0.75053	0.5	35	6550	0.52087	-0.283	0.993	0.0	0.346	0.0	6.226	0.001	0.47	0.001	0.175	0.001	2.697	0.003	6.154	0.006	-0.224	0.684	0.514	0.0	0.225	0.0	5.975	0.001	0.436	0.001	0.154	0.001	3.073	0.002	0.655	0.006
12	13	0.00038	0.75053	0.5	35	6600	0.50672	-0.295	0.993	0.0	0.372	0.0	6.25	0.001	0.499	0.001	0.19	0.001	2.585	0.002	5.851	0.004	-0.2	0.89	0.527	0.0	0.238	0.0	6.002	0.001	0.466	0.001	0.167	0.001	2.961	0.002	0.358	0.004
13	14	0.00038	0.75053	0.5	35	6650	0.49312	-0.307	0.995	0.0	0.395	0.0	6.278	0.0	0.517	0.0	0.216	0.0	2.501	0.001	5.644	0.002	-0.158	1.049	0.539	0.0	0.251	0.0	6.039	0.0	0.49	0.0	0.196	0.0	2.865	0.001	0.098	0.002
14	15	0.00038	0.75053	0.5	35	6700	0.48003	-0.319	0.998	0.0	0.414	0.0	0.018	0.0	0.524	0.0	0.239	0.0	2.45	0.001	5.493	0.001	-0.15	inf	0.551	0.0	0.262	0.0	6.074	0.0	0.504	0.0	0.224	0.0	2.801	0.001	6.177	0.002
15	16	0.00038	0.75053	0.5	35	6750	0.46746	-0.33	1.002	0.0	0.429	0.0	0.033	0.0	0.528	0.0	0.261	0.0	2.405	0.001	5.387	0.002	-0.16	inf	0.566	0.0	0.27	0.0	6.097	0.001	0.511	0.001	0.249	0.001	2.744	0.002	6.045	0.004
21	24	0.00038	0.75053	0.5	45	5950	0.9605	-0.018	0.774	0.0	0.045	0.0	0.725	0.0	0.647	0.0	0.165	0.0	3.801	0.0	1.369	0.0	-0.398	0.342	0.121	0.0	0.027	0.0	0.021	0.0	0.626	0.0	0.178	0.0	5.133	0.0	3.463	0.0
22	25	0.00038	0.75053	0.5	45	6000	0.91962	-0.036	0.766	0.0	0.062	0.0	0.257	0.0	0.761	0.0	0.376	0.0	3.909	0.0	1.305	0.0	-0.382	0.274	0.131	0.0	0.04	0.0	5.868	0.0	0.688	0.0	0.378	0.0	5.188	0.0	3.261	0.0
23	26	0.00038	0.75053	0.5	45	6050	0.88325	-0.054	0.758	0.0	0.08	0.0	0.206	0.0	0.727	0.0	0.461	0.0	4.06	0.0	1.367	0.001	-0.101	0.295	0.141	0.0	0.053	0.0	5.899	0.0	0.628	0.0	0.437	0.0	5.183	0.001	3.084	0.001
24	27	0.00038	0.75053	0.5	45	6100	0.85068	-0.07	0.751	0.0	0.103	0.0	0.096	0.0	0.623	0.0	0.469	0.0	4.159	0.001	1.461	0.001	-0.097	0.348	0.15	0.0	0.07	0.0	5.883	0.0	0.518	0.0	0.432	0.0	5.093	0.001	2.912	0.001
25	28	0.00038	0.75053	0.5	45	6150	0.82103	-0.086	0.744	0.0	0.131	0.0	6.21	0.0	0.507	0.0	0.442	0.0	4.197	0.001	1.515	0.001	-0.095	0.379	0.158	0.0	0.09	0.0	5.795	0.0	0.407	0.0	0.404	0.0	4.962	0.001	2.73	0.001
26	29	0.00038	0.75053	0.5	45	6200	0.79406	-0.1	0.739	0.0	0.162	0.0	6.078	0.001	0.406	0.001	0.403	0.001	4.216	0.002	1.558	0.003	-0.087	0.42	0.166	0.0	0.112	0.0	5.726	0.001	0.319	0.001	0.367	0.001	4.859	0.003	2.59	0.003
27	30	0.00038	0.75053	0.5	45	6250	0.76825	-0.114	0.733	0.0	0.195	0.0	6.026	0.001	0.328	0.001	0.369	0.001	4.05	0.002	1.497	0.003	-0.088	0.439	0.176	0.0	0.135	0.0	5.718	0.001	0.257	0.001	0.339	0.001	4.567	0.003	2.405	0.003
28	31	0.00038	0.75053	0.5	45	6300	0.7444	-0.128	0.728	0.0	0.228	0.0	6.015	0.001	0.286	0.001	0.334	0.001	3.843	0.003	1.422	0.004	-0.087	0.466	0.185	0.0	0.157	0.0	5.738	0.001	0.228	0.001	0.305	0.001	4.258	0.004	2.239	0.004
29	32	0.00038	0.75053	0.5	45	6350	0.72192	-0.142	0.725	0.0	0.261	0.0	6.019	0.001	0.274	0.001	0.297	0.001	3.595	0.004	1.298	0.004	-0.088	0.488	0.195	0.0	0.178	0.0	5.767	0.001	0.229	0.001	0.269	0.001	3.92	0.004	2.038	0.004
30	33	0.00038	0.75053	0.5	45	6400	0.70045	-0.155	0.722	0.0	0.291	0.0	6.071	0.001	0.284	0.001	0.27	0.001	3.407	0.004	1.144	0.005	-0.123	0.548	0.204	0.0	0.198	0.0	5.833	0.001	0.251	0.001	0.243	0.001	3.696	0.005	1.834	0.005
31	34	0.00038	0.75053	0.5	45	6450	0.68033	-0.167	0.72	0.0	0.322	0.0	6.06	0.001	0.316	0.001	0.227	0.001	3.199	0.003	0.832	0.004	-0.236	0.701	0.216	0.0	0.217	0.0	5.826	0.001	0.28	0.001	0.204	0.001	3.485	0.003	1.528	0.004
32	35	0.00038	0.75053	0.5	45	6500	0.66109	-0.18	0.72	0.0	0.348	0.0	6.106	0.001	0.355	0.001	0.207	0.001	3.092	0.004	0.471	0.007	-0.254	0.77	0.229	0.0	0.231	0.0	5.866	0.001	0.311	0.001	0.188	0.001	3.41	0.004	1.212	0.007
33	36	0.00038	0.75053	0.5	45	6550	0.64213	-0.192	0.719	0.0	0.373	0.0	6.165	0.001	0.402	0.001	0.202	0.001	3.004	0.003	0.041	0.006	-0.249	0.776	0.242	0.0	0.243	0.0	5.919	0.001	0.35	0.001	0.182	0.001	3.358	0.003	0.828	0.005
34	37	0.00038	0.75053	0.5	45	6600	0.62497	-0.204	0.72	0.0	0.396	0.0	6.21	0.001	0.45	0.001	0.211	0.001	2.915	0.003	5.933	0.005	-0.204	0.776	0.255	0.0	0.254	0.0	5.966	0.001	0.398	0.001	0.19	0.001	3.289	0.002	0.416	0.005
35	38	0.00038	0.75053	0.5	45	6650	0.60797	-0.216	0.722	0.0	0.415	0.0	6.246	0.001	0.49	0.001	0.226	0.001	2.835	0.002	5.665	0.004	-0.171	0.812	0.268	0.0	0.264	0.0	6.01	0.001	0.445	0.001	0.209	0.001	3.209	0.002	0.086	0.004
36	39	0.00038	0.75053	0.5	45	6700	0.59184	-0.228	0.726	0.0	0.43	0.0	6.267	0.001	0.522	0.001	0.235	0.001	2.764	0.002	5.486	0.003	-0.174	0.887	0.282	0.0	0.272	0.0	6.042	0.0	0.486	0.0	0.225	0.0	3.135	0.001	6.141	0.002
43	46	0.00038	0.75053	0.5	55	6150	0.97346	-0.012	0.524	0.0	0.144	0.0	6.103	0.001	0.419	0.001	0.327	0.001	4.882	0.002	2.199	0.002	-0.087	0.403	-0.061	0.0	0.101	0.0	5.713	0.001	0.306	0.001	0.287	0.001	5.691	0.002	3.338	0.003
44	47	0.00038	0.75053	0.5	55	6200	0.94095	-0.026	0.518	0.0	0.179	0.0	6.062	0.001	0.325	0.001	0.291	0.001	4.722	0.002	2.12	0.003	-0.092	0.462	-0.052	0.0	0.124	0.0	5.729	0.001	0.235	0.001	0.254	0.001	5.398	0.003	3.1	0.003
45	48	0.00038	0.75053	0.5	55	6250	0.91084	-0.041	0.512	0.0	0.214	0.0	6.009	0.001	0.254	0.001	0.267	0.001	4.466	0.003	2.068	0.004	-0.091	0.484	-0.043	0.0	0.147	0.0	5.718	0.001	0.18	0.001	0.236	0.001	5.007	0.004	2.941	0.004
46	49	0.00038	0.75053	0.5	55	6300	0.88253	-0.054	0.508	0.0	0.249	0.0	5.99	0.001	0.215	0.001	0.243	0.001	4.086	0.004	2.01	0.004	-0.284	0.52	-0.033	0.0	0.17	0.0	5.73	0.001	0.157	0.001	0.216	0.001	4.46	0.005	2.806	0.004
47	50	0.00038	0.75053	0.5	55	6350	0.85571	-0.068	0.505	0.0	0.284	0.0	6.001	0.001	0.215	0.001	0.222	0.001	3.682	0.004	1.906	0.005	-0.276	0.541	-0.023	0.0	0.193	0.0	5.762	0.001	0.174	0.001	0.195	0.001	3.937	0.006	2.651	0.005
48	51	0.00038	0.75053	0.5	55	6400	0.8303	-0.081	0.502	0.0	0.317	0.0	6.02	0.001	0.239	0.001	0.197	0.001	3.375	0.004	1.738	0.004	-0.273	0.572	-0.013	0.0	0.214	0.0	5.797	0.001	0.213	0.001	0.172	0.001	3.598	0.004	2.438	0.005
49	52	0.00038	0.75053	0.5	55	6450	0.80604	-0.094	0.501	0.0	0.345	0.0	6.038	0.001	0.272	0.001	0.177	0.001	3.184	0.003	1.491	0.005	-0.261	0.6	-0.002	0.0	0.23	0.0	5.816	0.001	0.244	0.001	0.161	0.001	3.436	0.003	2.194	0.005
50	53	0.00038	0.75053	0.5	55	6500	0.78284	-0.106	0.5	0.0	0.371	0.0	6.066	0.001	0.306	0.001	0.164	0.001	3.07	0.004	1.173	0.008	-0.257	0.618	0.012	0.0	0.243	0.0	5.837	0.001	0.27	0.001	0.154	0.001	3.351	0.004	1.935	0.007
51	54	0.00038	0.75053	0.5	55	6550	0.76092	-0.119	0.498	0.0	0.394	0.0	6.096	0.001	0.341	0.001	0.157	0.001	2.984	0.003	0.728	0.006	-0.282	0.727	0.025	0.0	0.254	0.0	5.862	0.001	0.296	0.001	0.149	0.001	3.289	0.003	1.558	0.005
52	55	0.00038	0.75053	0.5	55	6600	0.73943	-0.131	0.498	0.0	0.415	0.0	6.132	0.001	0.372	0.001	0.174	0.001	2.927	0.004	0.286	0.008	-0.23	0.859	0.037	0.0	0.265	0.0	5.898	0.001	0.323	0.001	0.16	0.001	3.25	0.004	1.115	0.007
53	56	0.00038	0.75053	0.5	55	6650	0.71938	-0.143	0.498	0.0	0.432	0.0	6.165	0.001	0.399	0.001	0.205	0.001	2.892	0.003	6.234	0.005	-0.2	0.919	0.049	0.0	0.274	0.0	5.937	0.001	0.35	0.001	0.188	0.001	3.219	0.002	0.711	0.004
54	57	0.00038	0.75053	0.5	55	6700	0.69928	-0.155	0.5	0.0	0.443	0.0	6.193	0.001	0.421	0.001	0.233	0.001	2.867	0.003	5.996	0.005	-0.199	0.965	0.06	0.0	0.28	0.0	5.973	0.001	0.376	0.001	0.22	0.001	3.197	0.003	0.406	0.005
60	63	0.00038	0.75053	0.5	65	6350	0.98729	-0.006	0.322	0.0	0.301	0.0	5.944	0.001	0.132	0.001	0.136	0.001	3.863	0.005	2.123	0.005	-0.265	1.016	-0.205	0.0	0.202	0.0	5.711	0.001	0.091	0.001	0.116	0.001	3.958	0.007	2.849	0.006
61	64	0.00038	0.75053	0.5	65	6400	0.95758	-0.019	0.32	0.0	0.335	0.0	6.004	0.001	0.179	0.001	0.106	0.001	3.43	0.003	2.073	0.005	-0.262	0.988	-0.195	0.0	0.223	0.0	5.782	0.001	0.152	0.001	0.089	0.001	3.602	0.004	2.761	0.007
62	65	0.00038	0.75053	0.5	65	6450	0.92944	-0.032	0.318	0.0	0.362	0.0	6.064	0.001	0.222	0.001	0.092	0.001	3.222	0.004	1.908	0.009	-0.258	0.647	-0.182	0.0	0.239	0.0	5.84	0.001	0.194	0.001	0.082	0.001	3.477	0.005	2.548	0.011
63	66	0.00038	0.75053	0.5	65	6500	0.90222	-0.045	0.317	0.0	0.387	0.0	6.102	0.001	0.265	0.001	0.077	0.001	3.085	0.005	1.64	0.015	-0.256	0.664	-0.169	0.0	0.25	0.0	5.874	0.001	0.231	0.001	0.076	0.001	3.384	0.005	2.341	0.015
64	67	0.00038	0.75053	0.5	65	6550	0.87662	-0.057	0.316	0.0	0.409	0.001	6.119	0.001	0.307	0.001	0.068	0.001	2.99	0.005	1.211	0.019	-0.253	0.698	-0.156	0.0	0.261	0.0	5.888	0.001	0.265	0.001	0.071	0.001	3.312	0.005	2.068	0.017
65	68	0.00038	0.75053	0.5	65	6600	0.85171	-0.07	0.314	0.0	0.43	0.0	6.127	0.001	0.343	0.001	0.076	0.001	2.915	0.003	0.665	0.013	-0.257	0.736	-0.143	0.0	0.269	0.0	5.894	0.001	0.296	0.001	0.074	0.001	3.25	0.004	1.633	0.012
66	69	0.00038	0.75053	0.5	65	6650	0.82794	-0.082	0.313	0.0	0.446	0.0	6.134	0.001	0.371	0.001	0.099	0.001	2.861	0.003	0.275	0.008	-0.255	0.876	-0.132	0.0	0.277	0.0	5.907	0.001	0.327	0.001	0.09	0.001	3.197	0.003	1.137	0.008
67	70	0.00038	0.75053	0.5	65	6700	0.80543	-0.094	0.313	0.0	0.457	0.0	6.154	0.001	0.387	0.001	0.127	0.001	2.823	0.002	0.051	0.006	-0.206	0.969	-0.122	0.0	0.284	0.0	5.937	0.001	0.349	0.001	0.116	0.001	3.152	0.002	0.785	0.005
68	71	0.00038	0.75053	0.5	65	6750	0.78354	-0.106	0.313	0.0	0.464	0.0	6.174	0.001	0.398	0.001	0.153	0.001	2.79	0.002	6.168	0.005	-0.204	1.07	-0.112	0.0	0.288	0.0	5.969	0.001	0.365	0.001	0.147	0.001	3.114	0.002	0.527	0.004
69	72	0.00038	0.75053	0.5	65	6800	0.76246	-0.118	0.31	0.0	0.466	0.0	6.107	0.001	0.399	0.001	0.17	0.001	2.735	0.002	5.968	0.003	-0.221	1.146	-0.1	0.0	0.287	0.0	5.917	0.001	0.37	0.001	0.168	0.001	3.046	0.002	0.265	0.004
70	73	0.00038	0.75053	0.5	65	6850	0.74229	-0.129	0.302	0.0	0.457	0.0	6.016	0.0	0.391	0.0	0.168	0.0	2.675	0.001	5.801	0.002	-0.222	1.222	-0.092	0.0	0.28	0.0	5.84	0.0	0.367	0.0	0.17	0.0	2.969	0.001	0.034	0.003
71	75	0.00038	0.75053	0.5	75	6550	0.99041	-0.004	0.159	0.0	0.424	0.0	6.142	0.001	0.253	0.001	0.034	0.001	2.964	0.003	0.009	0.017	-0.238	0.976	-0.311	0.0	0.268	0.0	5.914	0.001	0.209	0.001	0.035	0.001	3.262	0.003	1.062	0.017
72	76	0.00038	0.75053	0.5	75	6600	0.96222	-0.017	0.158	0.0	0.442	0.0	6.162	0.001	0.295	0.001	0.043	0.001	2.914	0.002	5.875	0.013	-0.235	0.976	-0.299	0.0	0.275	0.0	5.933	0.001	0.246	0.001	0.031	0.001	3.237	0.002	0.568	0.018
73	77	0.00038	0.75053	0.5	75	6650	0.93449	-0.029	0.156	0.0	0.455	0.0	6.179	0.001	0.329	0.001	0.053	0.001	2.871	0.002	5.828	0.013	-0.229	0.825	-0.288	0.0	0.281	0.0	5.954	0.001	0.282	0.001	0.038	0.001	3.202	0.003	0.308	0.017
74	78	0.00038	0.75053	0.5	75	6700	0.90815	-0.042	0.154	0.0	0.464	0.0	6.191	0.001	0.357	0.001	0.066	0.001	2.835	0.002	5.87	0.009	-0.246	0.905	-0.278	0.0	0.285	0.0	5.973	0.001	0.315	0.001	0.051	0.001	3.169	0.002	0.269	0.01
75	79	0.00038	0.75053	0.5	75	6750	0.88361	-0.054	0.151	0.0	0.467	0.0	6.148	0.0	0.376	0.0	0.075	0.0	2.79	0.001	5.881	0.006	-0.253	1.053	-0.268	0.0	0.286	0.0	5.944	0.0	0.341	0.0	0.065	0.0	3.116	0.001	0.185	0.005
76	80	0.00038	0.75053	0.5	75	6800	0.85951	-0.066	0.143	0.0	0.456	0.0	6.028	0.0	0.38	0.0	0.078	0.0	2.723	0.001	5.749	0.003	-0.25	1.198	-0.259	0.0	0.278	0.0	5.846	0.0	0.354	0.0	0.076	0.0	3.033	0.001	6.232	0.003
77	81	0.00038	0.75053	0.5	85	6750	0.98175	-0.008	0.01	0.0	0.463	0.0	6.141	0.0	0.339	0.0	0.075	0.0	2.811	0.001	5.221	0.002	-0.26	1.049	-0.405	0.0	0.282	0.0	5.938	0.0	0.3	0.0	0.071	0.0	3.132	0.001	5.678	0.002
78	82	0.00038	0.75053	0.55	35	6050	0.67755	-0.169	1.037	0.0	0.049	0.0	0.684	0.0	0.348	0.0	0.12	0.0	2.841	0.0	5.563	0.0	-0.207	0.621	0.414	0.0	0.026	0.0	0.2	0.0	0.417	0.0	0.155	0.0	3.753	0.0	0.67	0.0
79	83	0.00038	0.75053	0.55	35	6100	0.65	-0.187	1.029	0.0	0.085	0.0	0.544	0.0	0.539	0.0	0.294	0.0	2.991	0.0	5.779	0.0	-0.146	0.56	0.423	0.0	0.047	0.0	0.064	0.0	0.597	0.0	0.343	0.0	3.894	0.0	0.902	0.0
80	84	0.00038	0.75053	0.55	35	6150	0.62578	-0.204	1.021	0.0	0.108	0.0	0.381	0.0	0.56	0.0	0.365	0.0	3.177	0.0	6.086	0.0	-0.121	0.55	0.432	0.0	0.065	0.0	6.207	0.0	0.565	0.0	0.393	0.0	4.028	0.0	1.149	0.0
81	85	0.00038	0.75053	0.55	35	6200	0.60398	-0.219	1.015	0.0	0.133	0.0	0.22	0.0	0.517	0.0	0.379	0.0	3.324	0.001	0.078	0.001	-0.102	0.587	0.441	0.0	0.084	0.0	6.092	0.0	0.485	0.0	0.386	0.0	4.081	0.001	1.288	0.001
82	86	0.00038	0.75053	0.55	35	6250	0.58408	-0.234	1.009	0.0	0.161	0.0	0.102	0.0	0.457	0.0	0.362	0.0	3.383	0.001	0.285	0.002	-0.093	0.639	0.449	0.0	0.106	0.0	6.025	0.0	0.412	0.001	0.357	0.0	4.037	0.001	1.342	0.002
83	87	0.00038	0.75053	0.55	35	6300	0.56573	-0.247	1.004	0.0	0.191	0.0	0.029	0.001	0.407	0.001	0.336	0.001	3.306	0.003	0.41	0.003	-0.092	0.672	0.458	0.0	0.128	0.0	5.991	0.001	0.362	0.001	0.325	0.001	3.856	0.003	1.339	0.004
84	88	0.00038	0.75053	0.55	35	6350	0.54862	-0.261	1.0	0.0	0.222	0.0	6.259	0.001	0.377	0.001	0.305	0.001	3.11	0.003	0.435	0.004	-0.092	0.678	0.467	0.0	0.149	0.0	5.968	0.001	0.34	0.001	0.286	0.001	3.564	0.004	1.262	0.005
85	89	0.00038	0.75053	0.55	35	6400	0.53254	-0.274	0.997	0.0	0.253	0.0	6.24	0.001	0.374	0.001	0.275	0.001	2.881	0.003	0.352	0.004	-0.097	0.672	0.477	0.0	0.171	0.0	5.971	0.001	0.35	0.001	0.249	0.001	3.268	0.003	1.1	0.004
86	90	0.00038	0.75053	0.55	35	6450	0.51732	-0.286	0.995	0.0	0.284	0.0	6.243	0.001	0.39	0.001	0.246	0.001	2.675	0.002	0.168	0.004	-0.233	0.742	0.488	0.0	0.19	0.0	5.986	0.001	0.373	0.001	0.22	0.001	3.035	0.002	0.905	0.003
87	91	0.00038	0.75053	0.55	35	6500	0.50285	-0.299	0.995	0.0	0.314	0.0	6.257	0.0	0.415	0.0	0.229	0.0	2.519	0.001	6.154	0.002	-0.227	0.894	0.5	0.0	0.207	0.0	6.006	0.0	0.398	0.0	0.207	0.0	2.871	0.001	0.62	0.002
88	92	0.00038	0.75053	0.55	35	6550	0.48905	-0.311	0.994	0.0	0.344	0.0	6.282	0.001	0.438	0.001	0.237	0.001	2.404	0.002	5.783	0.003	-0.197	0.957	0.513	0.0	0.221	0.0	6.032	0.0	0.418	0.001	0.214	0.0	2.752	0.001	0.276	0.003
89	93	0.00038	0.75053	0.55	35	6600	0.47582	-0.323	0.994	0.0	0.372	0.0	0.023	0.0	0.453	0.0	0.26	0.0	2.329	0.001	5.469	0.002	-0.154	1.028	0.526	0.0	0.235	0.0	6.063	0.0	0.433	0.001	0.238	0.0	2.666	0.001	6.218	0.002
90	94	0.00038	0.75053	0.55	35	6650	0.46321	-0.334	0.997	0.0	0.396	0.0	0.044	0.0	0.459	0.0	0.284	0.0	2.282	0.001	5.248	0.002	-0.143	inf	0.539	0.0	0.249	0.0	6.097	0.001	0.442	0.001	0.269	0.001	2.604	0.002	5.935	0.003
91	95	0.00038	0.75053	0.55	35	6700	0.45106	-0.346	1.001	0.0	0.417	0.0	0.063	0.001	0.461	0.001	0.302	0.001	2.256	0.002	5.09	0.003	-0.136	inf	0.552	0.0	0.262	0.0	6.129	0.001	0.447	0.001	0.295	0.001	2.565	0.002	5.73	0.004
92	96	0.00038	0.75053	0.55	35	6750	0.43935	-0.357	1.006	0.0	0.433	0.0	0.08	0.001	0.462	0.001	0.315	0.001	2.242	0.002	4.976	0.003	-0.136	inf	0.568	0.0	0.27	0.0	6.15	0.001	0.448	0.001	0.31	0.001	2.545	0.003	5.597	0.004
99	105	0.00038	0.75053	0.55	45	5950	0.90094	-0.045	0.775	0.0	0.036	0.0	0.624	0.0	0.369	0.0	0.105	0.0	3.273	0.0	0.521	0.0	-0.238	0.406	0.121	0.0	0.019	0.0	0.016	0.0	0.403	0.0	0.125	0.0	4.42	0.0	2.321	0.001
100	106	0.00038	0.75053	0.55	45	6000	0.86182	-0.065	0.767	0.0	0.063	0.0	0.445	0.0	0.62	0.0	0.338	0.0	3.403	0.0	0.367	0.0	-0.147	0.319	0.131	0.0	0.036	0.0	6.109	0.0	0.638	0.0	0.377	0.0	4.583	0.0	2.171	0.0
101	107	0.00038	0.75053	0.55	45	6050	0.82728	-0.082	0.76	0.0	0.082	0.0	0.35	0.0	0.674	0.0	0.435	0.0	3.57	0.0	0.527	0.0	-0.115	0.325	0.141	0.0	0.051	0.0	6.066	0.0	0.651	0.0	0.45	0.0	4.649	0.0	2.185	0.001
102	108	0.00038	0.75053	0.55	45	6100	0.79721	-0.098	0.753	0.0	0.103	0.0	0.164	0.0	0.615	0.0	0.461	0.0	3.741	0.001	0.791	0.001	-0.102	0.376	0.149	0.0	0.067	0.0	5.954	0.0	0.553	0.0	0.449	0.0	4.665	0.001	2.24	0.001
103	109	0.00038	0.75053	0.55	45	6150	0.76854	-0.114	0.746	0.0	0.131	0.0	0.046	0.0	0.52	0.0	0.446	0.0	3.797	0.001	0.904	0.001	-0.09	0.403	0.159	0.0	0.088	0.0	5.909	0.0	0.448	0.0	0.423	0.0	4.559	0.001	2.138	0.001
104	110	0.00038	0.75053	0.55	45	6200	0.74301	-0.129	0.74	0.0	0.161	0.0	6.193	0.0	0.428	0.001	0.412	0.001	3.806	0.001	0.973	0.002	-0.087	0.453	0.168	0.0	0.109	0.0	5.834	0.0	0.357	0.001	0.387	0.001	4.432	0.002	2.026	0.002
105	111	0.00038	0.75053	0.55	45	6250	0.71928	-0.143	0.735	0.0	0.194	0.0	6.103	0.001	0.358	0.001	0.371	0.001	3.721	0.002	0.969	0.003	-0.088	0.562	0.177	0.0	0.132	0.0	5.792	0.001	0.295	0.001	0.349	0.001	4.233	0.003	1.882	0.003
106	112	0.00038	0.75053	0.55	45	6300	0.6971	-0.157	0.731	0.0	0.227	0.0	6.065	0.001	0.324	0.001	0.324	0.001	3.557	0.004	0.912	0.004	-0.087	0.616	0.186	0.0	0.155	0.0	5.786	0.001	0.271	0.001	0.302	0.001	3.978	0.004	1.721	0.005
107	113	0.00038	0.75053	0.55	45	6350	0.67623	-0.17	0.727	0.0	0.261	0.0	6.075	0.001	0.327	0.001	0.275	0.001	3.37	0.004	0.787	0.005	-0.092	0.664	0.196	0.0	0.178	0.0	5.819	0.001	0.284	0.001	0.252	0.001	3.727	0.004	1.511	0.005
108	114	0.00038	0.75053	0.55	45	6400	0.65649	-0.183	0.725	0.0	0.293	0.0	6.106	0.001	0.356	0.001	0.225	0.001	3.18	0.003	0.572	0.004	-0.233	0.686	0.206	0.0	0.199	0.0	5.863	0.001	0.321	0.001	0.203	0.001	3.509	0.003	1.234	0.004
109	115	0.00038	0.75053	0.55	45	6450	0.63789	-0.195	0.724	0.0	0.322	0.0	6.146	0.001	0.4	0.001	0.188	0.001	3.019	0.003	0.298	0.006	-0.233	0.706	0.219	0.0	0.216	0.0	5.902	0.001	0.362	0.001	0.168	0.001	3.365	0.003	0.992	0.006
110	116	0.00038	0.75053	0.55	45	6500	0.61988	-0.208	0.724	0.0	0.349	0.0	6.188	0.001	0.448	0.001	0.172	0.001	2.87	0.003	6.211	0.007	-0.228	0.701	0.232	0.0	0.229	0.0	5.941	0.001	0.408	0.001	0.153	0.001	3.238	0.003	0.664	0.006
